model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
bert-base,CLS_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(82.25), 'acc': np.float64(82.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.93), 'acc': np.float64(87.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.9), 'acc': np.float64(95.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.58), 'acc': np.float64(88.74), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.89), 'acc': 86.77, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.19), 'acc': 90.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.56), 'acc': 71.25, 'f1': 80.19, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(81.24), 'acc': np.float64(81.41), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.93), 'acc': np.float64(86.54), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.47), 'acc': np.float64(95.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.19), 'acc': np.float64(88.51), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 86.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.95), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.71), 'acc': 73.62, 'f1': 80.83, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(80.35), 'acc': np.float64(80.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.69), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.81), 'acc': np.float64(94.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.49), 'acc': np.float64(87.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.44), 'acc': 85.39, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.16), 'acc': 88.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.6), 'acc': 71.88, 'f1': 79.72, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(82.52), 'acc': np.float64(82.35), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.47), 'acc': np.float64(86.81), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.92), 'acc': np.float64(96.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.4), 'acc': np.float64(88.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.84), 'acc': 87.2, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.88), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.0), 'acc': 73.62, 'f1': 81.16, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(82.14), 'acc': np.float64(82.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.65), 'acc': np.float64(85.4), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.69), 'acc': np.float64(95.72), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.71), 'acc': np.float64(87.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.93), 'acc': 87.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.43), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.72), 'acc': 70.49, 'f1': 78.77, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(80.97), 'acc': np.float64(80.97), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.05), 'acc': np.float64(84.69), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.11), 'acc': np.float64(95.19), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.51), 'acc': np.float64(87.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.61), 'acc': 86.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.31), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.29), 'acc': 73.97, 'f1': 80.92, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(82.16), 'acc': np.float64(82.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.9), 'acc': np.float64(85.93), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.71), 'acc': np.float64(95.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.56), 'acc': np.float64(87.76), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.42), 'acc': 87.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.61), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.51), 'acc': 72.75, 'f1': 80.29, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(82.13), 'acc': np.float64(82.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.96), 'acc': np.float64(87.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.88), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.56), 'acc': np.float64(88.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 86.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.98), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.44), 'acc': 71.01, 'f1': 79.67, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(80.87), 'acc': np.float64(80.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.97), 'acc': np.float64(86.46), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.52), 'acc': np.float64(95.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.3), 'acc': np.float64(88.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.78), 'acc': 86.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.48), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.12), 'acc': 74.2, 'f1': 81.39, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(79.75), 'acc': np.float64(79.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.79), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.94), 'acc': np.float64(94.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.6), 'acc': np.float64(87.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.55), 'acc': 85.01, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.65), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.94), 'acc': 71.13, 'f1': 79.16, 'ndev': 4076, 'ntest': 1725}"
