,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,82.25,86.93,95.9,88.58,85.89,86.19,71.56,85.32857142857142
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,81.24,85.93,95.47,88.19,86.7,85.95,75.71,85.59857142857143
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,80.35,83.69,94.81,87.49,85.44,81.16,73.6,83.79142857142858
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,82.52,86.47,95.92,88.4,87.84,87.88,76.0,86.43285714285716
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,82.14,85.65,95.69,87.71,86.93,86.43,73.72,85.46714285714286
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,80.97,85.05,95.11,87.51,87.61,85.31,75.29,85.2642857142857
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-avg,82.16,85.9,95.71,87.56,88.42,86.61,75.51,85.98142857142857
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,82.13,86.96,95.88,88.56,86.7,86.98,71.44,85.52142857142856
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,80.87,85.97,95.52,88.3,85.78,86.48,75.12,85.43428571428572
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,79.75,83.79,94.94,87.6,85.55,82.65,72.94,83.88857142857144
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,82.46,86.51,95.96,88.27,87.5,88.32,76.05,86.43857142857142
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,81.88,85.65,95.76,87.66,87.39,86.92,73.6,85.55142857142857
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,80.49,85.1,95.19,87.68,86.7,85.73,74.68,85.08142857142856
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-avg,81.9,85.92,95.79,87.65,87.84,87.44,75.46,86.0
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,82.18,86.87,95.89,88.6,86.58,86.98,71.71,85.5442857142857
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,80.93,85.97,95.52,88.28,85.89,86.54,75.12,85.46428571428571
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,79.79,83.74,94.93,87.6,85.55,82.34,72.72,83.81000000000002
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,82.46,86.55,95.94,88.32,87.84,88.52,75.76,86.48428571428572
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,81.89,85.72,95.71,87.7,87.61,86.98,73.85,85.63714285714286
