model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
bert-base,CLS_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(82.36), 'acc': np.float64(82.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.15), 'acc': np.float64(87.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.9), 'acc': np.float64(95.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.45), 'acc': np.float64(88.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 87.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.79), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.56), 'acc': 70.14, 'f1': 78.99, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(81.69), 'acc': np.float64(81.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.51), 'acc': np.float64(87.18), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.51), 'acc': np.float64(95.55), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.19), 'acc': np.float64(88.44), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.24), 'acc': 86.49, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.26), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.0), 'acc': 73.74, 'f1': 81.16, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(80.94), 'acc': np.float64(81.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.02), 'acc': np.float64(84.95), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.93), 'acc': np.float64(94.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.6), 'acc': np.float64(87.95), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.32), 'acc': 85.39, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.96), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.53), 'acc': 71.65, 'f1': 79.77, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(82.73), 'acc': np.float64(82.66), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.8), 'acc': np.float64(87.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.96), 'acc': np.float64(96.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.27), 'acc': np.float64(88.38), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.5), 'acc': 87.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.52), 'acc': 93.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.64), 'acc': 74.38, 'f1': 81.55, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(82.51), 'acc': np.float64(82.78), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.16), 'acc': np.float64(86.54), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.76), 'acc': np.float64(95.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.66), 'acc': np.float64(87.93), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 87.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.56), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.09), 'acc': 71.83, 'f1': 79.7, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(81.35), 'acc': np.float64(81.58), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.82), 'acc': np.float64(86.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.19), 'acc': np.float64(95.21), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.66), 'acc': np.float64(87.64), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.24), 'acc': 86.22, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.89), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.15), 'acc': 73.68, 'f1': 81.15, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(82.33), 'acc': np.float64(82.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.41), 'acc': np.float64(87.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.8), 'acc': np.float64(95.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.58), 'acc': np.float64(87.45), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.84), 'acc': 87.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.58), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.19), 'acc': 73.04, 'f1': 80.58, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(82.22), 'acc': np.float64(82.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.1), 'acc': np.float64(87.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.85), 'acc': np.float64(95.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.46), 'acc': np.float64(88.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.5), 'acc': 87.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.51), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.29), 'acc': 70.55, 'f1': 79.47, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(81.28), 'acc': np.float64(81.31), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.28), 'acc': np.float64(86.86), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.58), 'acc': np.float64(95.62), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.2), 'acc': np.float64(88.47), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.12), 'acc': 86.33, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.96), 'acc': 93.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.17), 'acc': 72.41, 'f1': 79.98, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(80.3), 'acc': np.float64(80.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.52), 'acc': np.float64(85.01), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.18), 'acc': np.float64(95.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.63), 'acc': np.float64(87.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.98), 'acc': 85.56, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.58), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.55), 'acc': 71.77, 'f1': 79.46, 'ndev': 4076, 'ntest': 1725}"
