model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
bert-base,CLS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(82.35), 'acc': np.float64(82.44), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.03), 'acc': np.float64(87.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.94), 'acc': np.float64(96.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.67), 'acc': np.float64(88.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 87.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.3), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.66), 'acc': 70.03, 'f1': 78.94, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(81.4), 'acc': np.float64(81.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.17), 'acc': np.float64(86.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.54), 'acc': np.float64(95.61), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.4), 'acc': np.float64(88.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.47), 'acc': 86.33, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.99), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.1), 'acc': 73.1, 'f1': 80.67, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(80.43), 'acc': np.float64(80.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.03), 'acc': np.float64(84.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.92), 'acc': np.float64(94.83), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.64), 'acc': np.float64(87.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.21), 'acc': 84.73, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.35), 'acc': 88.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.22), 'acc': 71.77, 'f1': 79.83, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(82.7), 'acc': np.float64(82.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.69), 'acc': np.float64(87.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.96), 'acc': np.float64(95.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.54), 'acc': np.float64(88.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.96), 'acc': 87.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.06), 'acc': 93.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.98), 'acc': 73.74, 'f1': 80.96, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(82.34), 'acc': np.float64(82.53), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.81), 'acc': np.float64(85.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.75), 'acc': np.float64(95.8), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.89), 'acc': np.float64(87.89), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 87.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.59), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.7), 'acc': 72.35, 'f1': 80.17, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(81.13), 'acc': np.float64(81.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.31), 'acc': np.float64(85.27), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.16), 'acc': np.float64(95.28), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.74), 'acc': np.float64(87.96), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.39), 'acc': 86.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.23), 'acc': 90.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.64), 'acc': 74.55, 'f1': 81.41, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(82.32), 'acc': np.float64(82.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.06), 'acc': np.float64(86.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.81), 'acc': np.float64(95.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.71), 'acc': np.float64(88.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 87.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.0), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.22), 'acc': 72.52, 'f1': 80.22, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(82.32), 'acc': np.float64(82.2), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.16), 'acc': np.float64(87.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.91), 'acc': np.float64(95.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.6), 'acc': np.float64(88.69), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.81), 'acc': 86.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.01), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.37), 'acc': 70.2, 'f1': 79.29, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(80.9), 'acc': np.float64(80.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.21), 'acc': np.float64(86.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.58), 'acc': np.float64(95.69), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.43), 'acc': np.float64(88.61), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.78), 'acc': 86.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.43), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.71), 'acc': 73.1, 'f1': 80.44, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(79.77), 'acc': np.float64(79.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.07), 'acc': np.float64(84.05), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.02), 'acc': np.float64(95.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.65), 'acc': np.float64(87.91), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.32), 'acc': 85.06, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.5), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.67), 'acc': 70.84, 'f1': 79.03, 'ndev': 4076, 'ntest': 1725}"
