,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,82.44,87.58,96.03,88.63,87.1,91.2,70.03,86.14428571428572
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,81.52,86.6,95.61,88.59,86.33,92.0,73.1,86.25000000000001
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,80.5,84.13,94.83,87.92,84.73,88.4,71.77,84.61142857142856
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,82.73,87.15,95.98,88.87,87.86,93.4,73.74,87.10428571428572
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,82.53,85.99,95.8,87.89,87.59,92.2,72.35,86.33571428571429
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,81.29,85.27,95.28,87.96,86.55,90.4,74.55,85.89999999999999
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls_avg,82.55,86.25,95.91,88.02,87.86,93.2,72.52,86.61571428571429
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,82.2,87.42,95.97,88.69,86.71,90.6,70.2,85.97000000000001
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,80.86,86.7,95.69,88.61,86.38,92.6,73.1,86.27714285714286
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,79.77,84.05,95.07,87.91,85.06,90.0,70.84,84.67142857142856
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,82.58,87.31,96.16,88.61,87.86,94.0,73.33,87.12142857142858
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,81.88,85.93,95.93,88.06,87.7,92.6,71.94,86.29142857142857
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,80.69,85.27,95.39,88.01,86.05,92.4,73.8,85.9442857142857
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,82.07,86.25,95.97,87.82,87.59,93.4,72.75,86.54999999999998
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,82.26,87.47,95.99,88.68,86.93,92.0,71.77,86.44285714285715
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,81.03,86.76,95.7,88.64,86.44,93.0,73.97,86.50571428571428
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,79.89,84.05,95.01,87.97,85.28,89.2,71.19,84.65571428571427
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,82.63,87.02,96.09,88.51,87.53,93.4,74.84,87.14571428571428
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,82.25,85.86,95.97,88.04,87.86,91.8,70.78,86.08000000000001
19,bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,80.88,85.17,95.38,87.81,86.0,91.4,73.39,85.71857142857142
20,bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,82.17,86.12,96.01,87.77,87.86,93.8,72.99,86.67428571428572
21,bert-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,81.84,86.52,95.56,88.34,86.38,93.0,68.93,85.79571428571428
22,bert-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,81.84,87.21,95.44,88.7,86.22,93.8,74.09,86.75714285714285
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,81.57,85.91,95.15,87.85,86.11,91.6,70.43,85.51714285714287
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,82.59,87.07,95.98,88.49,87.26,94.6,75.19,87.31142857142858
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,82.36,86.94,95.93,88.18,87.64,93.6,72.35,86.71428571428571
26,bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,81.91,86.91,95.2,88.07,86.49,94.8,72.87,86.60714285714286
27,bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,cnn_1d_default-cls_avg,82.47,86.94,96.05,88.06,87.7,93.8,74.2,87.03142857142858
28,bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,82.26,87.44,95.98,88.82,86.71,92.2,71.13,86.36285714285714
29,bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,81.07,86.76,95.67,88.74,86.38,93.0,72.75,86.33857142857143
30,bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,80.0,84.53,95.14,88.03,85.28,91.2,71.71,85.12714285714287
31,bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,82.42,87.05,96.15,88.6,87.75,94.0,75.83,87.4
32,bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,82.1,86.2,95.91,88.08,87.48,93.0,72.52,86.47
33,bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,80.66,85.56,95.37,88.01,86.6,92.8,73.45,86.06428571428572
34,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,cnn_1d_default-cls_avg,82.26,86.44,96.05,87.75,88.14,93.6,72.58,86.68857142857144
35,bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls_avg,82.27,87.52,95.97,88.75,87.1,92.4,70.09,86.3
36,bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls_avg,81.18,86.81,95.66,88.71,86.49,92.6,73.39,86.40571428571427
37,bert-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls_avg,80.05,84.51,95.11,87.88,85.39,90.4,70.14,84.78285714285714
38,bert-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls_avg,82.57,87.05,96.05,88.73,88.14,93.8,74.61,87.27857142857144
39,bert-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls_avg,82.25,86.01,95.93,88.07,87.31,93.0,72.7,86.46714285714286
40,bert-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls_avg,80.86,85.43,95.4,88.08,86.44,92.2,73.68,86.01285714285716
41,bert-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,cnn_1d_default-cls_avg,82.22,86.44,95.98,87.86,87.59,93.6,73.91,86.8
