model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(82.57), 'acc': np.float64(82.62), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.22), 'acc': np.float64(87.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.91), 'acc': np.float64(95.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.95), 'acc': np.float64(88.91), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.81), 'acc': 86.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.2), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.01), 'acc': 70.84, 'f1': 79.71, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(81.79), 'acc': np.float64(81.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.78), 'acc': np.float64(87.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.68), 'acc': np.float64(95.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.1), 'acc': np.float64(89.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.89), 'acc': 86.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.36), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.27), 'acc': 73.97, 'f1': 81.25, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(80.8), 'acc': np.float64(80.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.13), 'acc': np.float64(85.14), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.32), 'acc': np.float64(95.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.21), 'acc': np.float64(88.38), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.44), 'acc': 85.06, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.21), 'acc': 90.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.04), 'acc': 72.64, 'f1': 80.59, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(83.13), 'acc': np.float64(83.25), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.39), 'acc': np.float64(87.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.11), 'acc': np.float64(96.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.23), 'acc': np.float64(89.31), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.3), 'acc': 87.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.61), 'acc': 94.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.27), 'acc': 73.57, 'f1': 80.9, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(82.74), 'acc': np.float64(82.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.69), 'acc': np.float64(86.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.03), 'acc': np.float64(96.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.62), 'acc': np.float64(88.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.84), 'acc': 87.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.21), 'acc': 93.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.94), 'acc': 69.57, 'f1': 77.67, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(81.52), 'acc': np.float64(81.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.01), 'acc': np.float64(86.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.61), 'acc': np.float64(95.62), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.46), 'acc': np.float64(88.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.04), 'acc': 86.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.9), 'acc': 93.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.74), 'acc': 74.2, 'f1': 81.6, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(82.86), 'acc': np.float64(82.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.75), 'acc': np.float64(87.18), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.09), 'acc': np.float64(96.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.64), 'acc': np.float64(88.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 87.97, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.57), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.4), 'acc': 73.04, 'f1': 80.55, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(82.42), 'acc': np.float64(82.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.06), 'acc': np.float64(87.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.89), 'acc': np.float64(95.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.88), 'acc': np.float64(88.91), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.04), 'acc': 86.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.14), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.44), 'acc': 70.55, 'f1': 79.48, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(81.54), 'acc': np.float64(81.57), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.79), 'acc': np.float64(86.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.65), 'acc': np.float64(95.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.96), 'acc': np.float64(88.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.89), 'acc': 86.22, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.22), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.27), 'acc': 73.04, 'f1': 80.63, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(80.39), 'acc': np.float64(80.41), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.17), 'acc': np.float64(85.14), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.32), 'acc': np.float64(95.36), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.18), 'acc': np.float64(88.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.78), 'acc': 85.23, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.62), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.75), 'acc': 71.94, 'f1': 80.24, 'ndev': 4076, 'ntest': 1725}"
