,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.62,87.66,95.99,88.91,86.82,91.4,70.84,86.32000000000001
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.84,87.15,95.79,89.25,86.16,93.2,73.97,86.76571428571431
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.68,85.14,95.27,88.38,85.06,90.4,72.64,85.36714285714285
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,83.25,87.44,96.12,89.31,87.59,94.6,73.57,87.41142857142859
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.74,86.99,96.02,88.55,87.64,93.4,69.57,86.4157142857143
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.46,86.38,95.62,88.52,86.71,93.4,74.2,86.61285714285714
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.99,87.18,96.02,88.63,87.97,95.0,73.04,87.26142857142857
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.28,87.31,95.96,88.91,86.99,91.8,70.55,86.25714285714285
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.57,86.99,95.75,88.99,86.22,92.4,73.04,86.42285714285713
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.41,85.14,95.36,88.24,85.23,90.6,71.94,85.27428571428572
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.91,87.34,96.11,89.01,87.86,94.8,73.86,87.41285714285713
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.51,86.84,96.02,88.67,87.42,92.6,71.36,86.48857142857143
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.22,86.25,95.56,88.49,86.44,93.2,74.03,86.45571428571428
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.61,87.47,96.01,88.62,87.7,93.8,74.2,87.20142857142856
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.4,87.37,95.94,88.99,86.93,91.2,70.96,86.25571428571429
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.56,86.97,95.75,88.98,86.33,93.0,73.8,86.62714285714284
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.31,85.14,95.31,88.3,85.34,90.6,71.83,85.26142857142858
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,83.01,87.44,96.13,89.04,87.92,94.4,73.8,87.39142857142858
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.41,86.89,96.01,88.7,87.42,92.8,72.93,86.73714285714287
19,bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.33,86.28,95.58,88.55,86.82,93.0,73.86,86.48857142857142
20,bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.76,87.44,96.03,88.68,87.7,93.2,73.74,87.07857142857144
21,bert-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.61,86.54,95.89,88.65,86.11,92.2,69.51,85.78714285714287
22,bert-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.73,86.7,95.39,88.72,86.33,94.0,74.03,86.69999999999997
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.95,84.98,95.18,88.0,85.17,91.4,72.06,85.39142857142858
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.33,86.94,96.14,88.82,86.82,94.8,74.61,87.20857142857142
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.21,86.46,96.08,88.23,87.15,94.2,72.64,86.71000000000001
26,bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.51,86.28,95.36,88.27,86.77,92.8,73.57,86.36571428571428
27,bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.42,86.86,96.0,88.08,87.42,94.2,74.61,87.08428571428571
28,bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.19,87.1,95.93,88.92,86.55,91.8,71.3,86.25571428571428
29,bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.67,86.6,95.78,88.91,86.33,93.0,73.22,86.50142857142858
30,bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.41,85.04,95.3,88.12,85.17,90.8,71.88,85.24571428571429
31,bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.99,87.31,96.13,89.01,87.75,94.2,75.36,87.53571428571429
32,bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.49,86.81,96.06,88.78,87.37,93.0,72.17,86.66857142857143
33,bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.3,86.17,95.57,88.53,86.77,92.6,73.86,86.39999999999999
34,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.58,87.34,96.1,88.66,88.08,94.2,74.14,87.29999999999998
35,bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.24,87.26,95.98,88.89,86.66,91.6,70.09,86.10285714285715
36,bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.67,86.84,95.72,88.93,86.38,92.6,73.97,86.58714285714287
37,bert-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.43,85.14,95.28,88.18,85.17,91.0,71.71,85.27285714285715
38,bert-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.96,87.31,96.13,89.03,87.97,94.4,73.97,87.39571428571428
39,bert-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.42,86.86,96.03,88.61,87.1,93.6,72.17,86.6842857142857
40,bert-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.3,86.09,95.6,88.54,86.6,93.2,72.75,86.29714285714286
41,bert-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.59,87.39,96.12,88.64,87.48,94.4,73.51,87.16142857142857
