model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(82.67), 'acc': np.float64(82.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.25), 'acc': np.float64(87.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.91), 'acc': np.float64(95.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.88), 'acc': np.float64(89.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.61), 'acc': 86.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.27), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.83), 'acc': 71.25, 'f1': 80.18, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(81.82), 'acc': np.float64(81.8), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.81), 'acc': np.float64(87.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.69), 'acc': np.float64(95.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.94), 'acc': np.float64(89.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.24), 'acc': 86.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.34), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.22), 'acc': 73.28, 'f1': 80.85, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(80.79), 'acc': np.float64(80.83), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.18), 'acc': np.float64(85.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.34), 'acc': np.float64(95.22), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.17), 'acc': np.float64(88.2), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.98), 'acc': 84.95, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.34), 'acc': 90.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.04), 'acc': 72.0, 'f1': 80.12, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(83.31), 'acc': np.float64(83.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.41), 'acc': np.float64(87.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.12), 'acc': np.float64(96.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.06), 'acc': np.float64(89.03), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 87.2, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.72), 'acc': 94.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.05), 'acc': 74.61, 'f1': 81.41, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(82.94), 'acc': np.float64(82.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.72), 'acc': np.float64(87.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.04), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.54), 'acc': np.float64(88.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.3), 'acc': 87.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.44), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.31), 'acc': 71.83, 'f1': 79.83, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(81.57), 'acc': np.float64(81.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.01), 'acc': np.float64(86.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.61), 'acc': np.float64(95.59), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.48), 'acc': np.float64(88.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 86.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.16), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.03), 'acc': 75.01, 'f1': 82.2, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(82.92), 'acc': np.float64(83.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.78), 'acc': np.float64(87.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.56), 'acc': np.float64(88.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.73), 'acc': 87.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.57), 'acc': 94.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.27), 'acc': 73.16, 'f1': 80.39, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(82.52), 'acc': np.float64(82.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.34), 'acc': np.float64(87.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.91), 'acc': np.float64(95.95), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.9), 'acc': np.float64(88.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.93), 'acc': 86.77, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.16), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.64), 'acc': 70.61, 'f1': 79.26, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(81.67), 'acc': np.float64(81.66), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.91), 'acc': np.float64(87.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.69), 'acc': np.float64(95.72), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.93), 'acc': np.float64(89.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.01), 'acc': 86.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.29), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.02), 'acc': 73.04, 'f1': 80.37, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(80.53), 'acc': np.float64(80.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.33), 'acc': np.float64(85.27), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.36), 'acc': np.float64(95.25), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.2), 'acc': np.float64(88.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.67), 'acc': 85.23, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.95), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.7), 'acc': 71.01, 'f1': 79.44, 'ndev': 4076, 'ntest': 1725}"
