,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,82.67,87.25,95.91,88.88,87.61,87.27,71.83,85.91714285714286
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,81.82,86.81,95.69,88.94,86.24,87.34,75.22,86.00857142857144
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,80.79,85.18,95.34,88.17,84.98,84.34,74.04,84.69142857142857
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,83.31,87.41,96.12,89.06,88.07,88.72,76.05,86.96285714285715
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,82.94,86.72,96.04,88.54,88.3,88.44,74.31,86.47
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,81.57,86.01,95.61,88.48,86.35,87.16,76.03,85.88714285714285
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,82.92,86.78,96.07,88.56,87.73,88.57,76.27,86.7
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,82.52,87.34,95.91,88.9,86.93,87.16,71.64,85.77142857142857
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,81.67,86.91,95.69,88.93,86.01,87.29,75.02,85.93142857142857
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,80.53,85.33,95.36,88.2,85.67,83.95,73.7,84.67714285714287
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,83.13,87.49,96.12,89.04,87.84,88.66,75.98,86.89428571428572
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,82.69,86.85,96.06,88.62,87.61,87.75,74.07,86.2357142857143
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,81.33,86.19,95.62,88.48,86.93,86.56,75.42,85.78999999999999
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,82.82,86.92,96.08,88.57,87.73,88.44,75.78,86.61999999999999
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,82.57,87.39,95.91,88.93,87.39,87.14,71.27,85.8
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,81.7,86.93,95.68,88.93,86.01,87.25,75.15,85.95
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,80.63,85.28,95.36,88.2,85.55,83.86,73.75,84.66142857142857
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,83.14,87.46,96.12,89.02,88.07,88.7,75.34,86.83571428571429
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,82.76,86.81,96.05,88.61,87.61,87.93,74.36,86.30428571428571
19,bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,81.38,86.13,95.61,88.5,86.35,86.79,75.05,85.68714285714285
20,bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,82.83,86.92,96.09,88.54,87.73,88.3,75.93,86.62000000000002
21,bert-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,82.41,87.12,95.84,88.7,87.16,87.78,70.9,85.70142857142856
22,bert-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,81.91,86.96,95.66,88.75,86.24,87.53,74.85,85.98571428571428
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,80.93,85.67,95.37,88.05,85.21,84.89,73.45,84.7957142857143
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,83.03,87.47,96.08,88.8,88.19,88.94,75.93,86.92
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,82.66,86.97,96.08,88.32,88.07,88.61,74.29,86.42857142857142
