model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(82.59), 'acc': np.float64(82.57), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.28), 'acc': np.float64(87.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.93), 'acc': np.float64(96.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.95), 'acc': np.float64(88.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 86.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.01), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.76), 'acc': 71.48, 'f1': 80.35, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(81.72), 'acc': np.float64(81.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.84), 'acc': np.float64(87.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.68), 'acc': np.float64(95.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.02), 'acc': np.float64(89.11), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.89), 'acc': 86.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.31), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.24), 'acc': 74.67, 'f1': 81.96, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(80.64), 'acc': np.float64(80.6), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.18), 'acc': np.float64(85.3), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.29), 'acc': np.float64(95.2), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.2), 'acc': np.float64(88.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.55), 'acc': 85.01, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.02), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.36), 'acc': 72.12, 'f1': 80.2, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(83.23), 'acc': np.float64(83.33), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.44), 'acc': np.float64(87.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.14), 'acc': np.float64(96.19), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.16), 'acc': np.float64(89.15), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.61), 'acc': 87.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.81), 'acc': 94.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.73), 'acc': 74.38, 'f1': 81.29, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(82.8), 'acc': np.float64(82.88), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.76), 'acc': np.float64(87.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.99), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.57), 'acc': np.float64(88.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 87.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.06), 'acc': 93.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.02), 'acc': 72.64, 'f1': 80.25, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(81.43), 'acc': np.float64(81.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.08), 'acc': np.float64(86.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.58), 'acc': np.float64(95.51), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.45), 'acc': np.float64(88.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.04), 'acc': 86.6, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.81), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.08), 'acc': 73.91, 'f1': 81.51, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(82.9), 'acc': np.float64(82.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.86), 'acc': np.float64(87.18), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.05), 'acc': np.float64(96.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.6), 'acc': np.float64(88.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.84), 'acc': 88.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.3), 'acc': 94.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.67), 'acc': 73.51, 'f1': 80.74, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(82.46), 'acc': np.float64(82.48), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.15), 'acc': np.float64(87.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.92), 'acc': np.float64(95.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.96), 'acc': np.float64(89.06), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.5), 'acc': 86.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.05), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.86), 'acc': 71.42, 'f1': 80.13, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(81.54), 'acc': np.float64(81.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.74), 'acc': np.float64(86.78), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.67), 'acc': np.float64(95.7), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.01), 'acc': np.float64(89.06), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.78), 'acc': 86.33, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.23), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.0), 'acc': 73.86, 'f1': 81.45, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(80.34), 'acc': np.float64(80.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.11), 'acc': np.float64(85.27), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.31), 'acc': np.float64(95.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.2), 'acc': np.float64(88.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.78), 'acc': 85.34, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.36), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.94), 'acc': 71.77, 'f1': 80.02, 'ndev': 4076, 'ntest': 1725}"
