,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.57,87.58,96.08,88.9,86.88,91.8,71.48,86.47
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.65,87.44,95.74,89.11,86.44,92.8,74.67,86.83571428571427
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,80.6,85.3,95.2,88.28,85.01,91.0,72.12,85.35857142857142
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,83.33,87.47,96.19,89.15,87.7,94.8,74.38,87.57428571428571
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.88,87.13,96.04,88.55,87.64,93.8,72.64,86.9542857142857
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.56,86.36,95.51,88.48,86.6,93.0,73.91,86.48857142857142
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.89,87.18,96.08,88.7,88.03,94.4,73.51,87.25571428571428
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.48,87.47,95.94,89.06,86.93,91.6,71.42,86.41428571428571
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.52,86.78,95.7,89.06,86.33,92.6,73.86,86.55
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,80.29,85.27,95.27,88.23,85.34,90.0,71.77,85.16714285714285
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,83.04,87.36,96.18,89.11,87.81,95.0,75.07,87.65285714285713
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.53,87.0,96.03,88.72,87.42,92.8,71.19,86.52714285714286
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.28,86.23,95.57,88.44,86.44,92.2,73.33,86.21285714285715
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.81,87.21,96.0,88.67,87.31,93.8,73.16,86.99428571428571
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.39,87.44,95.92,89.03,86.88,91.2,70.26,86.16
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.63,86.99,95.71,89.07,86.27,92.8,74.32,86.6842857142857
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,80.42,85.25,95.31,88.22,85.34,90.4,71.77,85.24428571428572
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,83.01,87.34,96.18,89.06,87.75,94.6,74.61,87.50714285714287
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.54,87.02,95.98,88.69,87.64,93.0,71.94,86.68714285714285
19,bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.34,86.2,95.6,88.5,86.22,92.2,74.32,86.34000000000002
20,bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.8,87.21,96.09,88.68,88.03,93.8,72.52,87.01857142857143
21,bert-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.32,87.05,95.88,88.78,86.38,92.0,70.67,86.1542857142857
22,bert-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.91,87.07,95.6,88.77,86.38,94.2,74.2,86.87571428571428
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,80.97,85.22,95.28,88.1,85.39,91.2,71.42,85.36857142857143
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,83.07,87.26,96.12,88.9,87.86,94.6,74.84,87.52142857142859
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.56,86.99,96.13,88.51,87.59,93.8,72.0,86.79714285714284
26,bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.5,86.52,95.46,88.39,86.77,93.0,72.93,86.36714285714285
27,bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.74,87.31,96.11,88.26,87.64,94.4,74.03,87.21285714285715
28,bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.45,87.39,95.9,88.97,86.71,92.6,70.38,86.34285714285714
29,bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.6,86.94,95.73,89.02,86.27,92.4,73.8,86.53714285714284
