model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(82.2), 'acc': np.float64(82.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.93), 'acc': np.float64(87.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.9), 'acc': np.float64(95.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.59), 'acc': np.float64(88.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.89), 'acc': 86.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.45), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.37), 'acc': 70.43, 'f1': 79.3, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(81.27), 'acc': np.float64(81.36), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.93), 'acc': np.float64(86.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.47), 'acc': np.float64(95.61), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.25), 'acc': np.float64(88.5), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.04), 'acc': 86.0, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.02), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.29), 'acc': 73.86, 'f1': 81.23, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(80.36), 'acc': np.float64(80.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.7), 'acc': np.float64(83.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.82), 'acc': np.float64(94.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.55), 'acc': np.float64(87.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.32), 'acc': 85.45, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.2), 'acc': 88.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.82), 'acc': 71.83, 'f1': 79.68, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(82.38), 'acc': np.float64(82.44), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.39), 'acc': np.float64(86.81), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.94), 'acc': np.float64(96.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.36), 'acc': np.float64(88.5), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.96), 'acc': 87.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.06), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.45), 'acc': 74.03, 'f1': 81.21, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(82.11), 'acc': np.float64(82.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.61), 'acc': np.float64(85.54), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.67), 'acc': np.float64(95.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.7), 'acc': np.float64(87.8), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.58), 'acc': 87.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.24), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.43), 'acc': 72.99, 'f1': 80.52, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(80.92), 'acc': np.float64(80.91), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.03), 'acc': np.float64(84.85), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.11), 'acc': np.float64(95.21), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.6), 'acc': np.float64(87.78), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.5), 'acc': 86.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.18), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.91), 'acc': 73.91, 'f1': 80.83, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(81.97), 'acc': np.float64(82.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.84), 'acc': np.float64(85.85), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.72), 'acc': np.float64(95.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.56), 'acc': np.float64(87.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 87.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.85), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.51), 'acc': 73.16, 'f1': 80.76, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(82.17), 'acc': np.float64(82.04), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.96), 'acc': np.float64(87.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.87), 'acc': np.float64(95.95), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.5), 'acc': np.float64(88.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 86.49, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.78), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.61), 'acc': 71.48, 'f1': 80.32, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(80.84), 'acc': np.float64(80.91), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.02), 'acc': np.float64(86.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.54), 'acc': np.float64(95.68), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.29), 'acc': np.float64(88.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.67), 'acc': 86.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.76), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.63), 'acc': 73.68, 'f1': 80.8, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(79.78), 'acc': np.float64(79.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.78), 'acc': np.float64(83.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.94), 'acc': np.float64(94.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.6), 'acc': np.float64(87.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.55), 'acc': 85.06, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.79), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.94), 'acc': 72.41, 'f1': 79.97, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(82.42), 'acc': np.float64(82.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.53), 'acc': np.float64(86.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.94), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.24), 'acc': np.float64(88.4), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.5), 'acc': 87.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.5), 'acc': 93.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.86), 'acc': 75.48, 'f1': 82.51, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(81.82), 'acc': np.float64(81.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.7), 'acc': np.float64(85.59), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.73), 'acc': np.float64(95.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.66), 'acc': np.float64(87.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.39), 'acc': 87.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.96), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.14), 'acc': 72.75, 'f1': 80.33, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(80.48), 'acc': np.float64(80.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.08), 'acc': np.float64(84.96), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.2), 'acc': np.float64(95.24), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.62), 'acc': np.float64(87.85), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.93), 'acc': 86.11, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.71), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.41), 'acc': 73.39, 'f1': 80.64, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,2304,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(81.9), 'acc': np.float64(81.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.88), 'acc': np.float64(85.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.84), 'acc': np.float64(95.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.64), 'acc': np.float64(87.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.39), 'acc': 87.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.58), 'acc': 94.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.9), 'acc': 74.03, 'f1': 81.56, 'ndev': 4076, 'ntest': 1725}"
