,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,82.2,86.93,95.9,88.59,85.89,86.45,71.37,85.33285714285715
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,81.27,85.93,95.47,88.25,87.04,86.02,75.29,85.61
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,80.36,83.7,94.82,87.55,85.32,81.2,73.82,83.82428571428571
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,82.38,86.39,95.94,88.36,87.96,88.06,76.45,86.50571428571428
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,82.11,85.61,95.67,87.7,86.58,86.24,73.43,85.3342857142857
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,80.92,85.03,95.11,87.6,87.5,85.18,75.91,85.32142857142856
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,81.97,85.84,95.72,87.56,88.99,86.85,75.51,86.06285714285714
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,82.17,86.96,95.87,88.5,86.7,86.78,71.61,85.51285714285714
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,80.84,86.02,95.54,88.29,85.67,86.76,74.63,85.39285714285715
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,79.78,83.78,94.94,87.6,85.55,82.79,72.94,83.91142857142859
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,82.42,86.53,95.94,88.24,87.5,88.5,75.86,86.42714285714285
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,81.82,85.7,95.73,87.66,87.39,86.96,74.14,85.62857142857142
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,80.48,85.08,95.2,87.62,86.93,85.71,74.41,85.06142857142856
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,81.9,85.88,95.84,87.64,87.39,87.58,74.9,85.87571428571428
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,82.16,86.91,95.88,88.57,86.58,86.76,71.54,85.48571428571428
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,80.93,85.97,95.52,88.29,85.89,86.5,74.8,85.41428571428571
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,79.8,83.72,94.94,87.63,85.78,82.5,72.79,83.88
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,82.44,86.49,95.95,88.33,87.84,88.33,76.18,86.50857142857141
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,81.89,85.67,95.73,87.64,87.27,86.94,74.07,85.60142857142857
19,bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,80.47,85.05,95.18,87.66,86.93,85.75,74.61,85.09285714285714
20,bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,81.94,85.88,95.8,87.67,87.73,87.42,75.29,85.96142857142857
21,bert-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,81.21,85.6,95.53,88.11,85.55,87.31,71.64,84.99285714285715
22,bert-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,81.34,86.01,95.27,88.05,85.44,87.47,75.61,85.59857142857143
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,80.34,84.27,94.9,87.35,85.21,84.98,73.33,84.34
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,81.99,86.1,95.78,88.14,86.01,88.78,76.0,86.11428571428571
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,81.28,85.24,95.73,87.47,86.58,88.15,73.99,85.49142857142859
26,bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,80.94,85.2,95.11,87.53,85.44,87.38,75.64,85.31999999999998
27,bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,81.4,85.48,95.7,87.41,87.16,88.46,75.56,85.88142857142859
28,bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,82.03,86.77,95.83,88.47,86.24,86.96,71.61,85.4157142857143
29,bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,81.02,86.02,95.54,88.26,86.12,86.88,74.78,85.51714285714284
30,bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,79.84,83.8,94.97,87.58,85.89,82.83,73.06,83.99571428571429
31,bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,82.36,86.51,95.95,88.23,87.61,88.52,76.03,86.45857142857143
32,bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,81.84,85.61,95.8,87.59,87.5,87.4,74.63,85.76714285714286
33,bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,80.53,85.13,95.23,87.74,86.81,85.82,74.78,85.14857142857143
34,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,81.83,85.83,95.81,87.51,87.73,87.71,75.1,85.93142857142858
35,bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,82.12,86.8,95.87,88.55,86.7,86.89,71.34,85.46714285714287
36,bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,81.08,86.0,95.54,88.26,85.89,86.54,74.78,85.44142857142856
37,bert-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,79.94,83.81,94.95,87.58,85.89,82.68,72.6,83.92142857142856
38,bert-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,82.39,86.48,95.97,88.28,87.16,88.26,76.1,86.37714285714286
39,bert-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,81.84,85.62,95.77,87.62,87.61,87.27,74.75,85.78285714285714
40,bert-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,80.56,85.1,95.22,87.72,86.7,86.0,74.9,85.17142857142856
41,bert-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,81.97,85.82,95.84,87.56,87.61,87.62,75.0,85.91714285714286
