model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(82.31), 'acc': np.float64(82.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.11), 'acc': np.float64(87.26), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.86), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.46), 'acc': np.float64(88.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.19), 'acc': 87.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.01), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.66), 'acc': 70.14, 'f1': 79.14, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(81.67), 'acc': np.float64(81.67), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.46), 'acc': np.float64(87.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.48), 'acc': np.float64(95.51), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.22), 'acc': np.float64(88.51), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.24), 'acc': 86.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.21), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.22), 'acc': 73.68, 'f1': 80.97, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(80.93), 'acc': np.float64(81.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.99), 'acc': np.float64(84.98), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.92), 'acc': np.float64(94.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.62), 'acc': np.float64(87.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.67), 'acc': 85.78, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.94), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.11), 'acc': 70.38, 'f1': 78.72, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(82.63), 'acc': np.float64(82.69), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.65), 'acc': np.float64(87.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.98), 'acc': np.float64(96.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.24), 'acc': np.float64(88.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.39), 'acc': 88.14, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.17), 'acc': 93.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.93), 'acc': 73.8, 'f1': 80.96, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(82.43), 'acc': np.float64(82.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.15), 'acc': np.float64(86.33), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.75), 'acc': np.float64(95.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.68), 'acc': np.float64(87.81), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.84), 'acc': 87.2, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.45), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.04), 'acc': 70.67, 'f1': 78.93, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(81.32), 'acc': np.float64(81.45), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.76), 'acc': np.float64(86.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.16), 'acc': np.float64(95.13), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.6), 'acc': np.float64(87.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.24), 'acc': 86.33, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.88), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.29), 'acc': 73.57, 'f1': 80.94, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(82.32), 'acc': np.float64(82.45), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.34), 'acc': np.float64(87.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.77), 'acc': np.float64(95.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.53), 'acc': np.float64(87.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.84), 'acc': 87.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.82), 'acc': 93.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.85), 'acc': 73.57, 'f1': 81.02, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(82.21), 'acc': np.float64(82.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.14), 'acc': np.float64(87.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.81), 'acc': np.float64(95.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.48), 'acc': np.float64(88.33), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.39), 'acc': 86.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.25), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.42), 'acc': 69.91, 'f1': 78.67, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(81.23), 'acc': np.float64(81.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.29), 'acc': np.float64(86.92), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.58), 'acc': np.float64(95.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.16), 'acc': np.float64(88.44), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.24), 'acc': 86.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.92), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.99), 'acc': 73.68, 'f1': 80.97, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(80.29), 'acc': np.float64(80.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.51), 'acc': np.float64(84.98), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.18), 'acc': np.float64(95.13), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.61), 'acc': np.float64(87.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.86), 'acc': 85.61, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.42), 'acc': 90.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.4), 'acc': 71.54, 'f1': 79.41, 'ndev': 4076, 'ntest': 1725}"
