model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(82.35), 'acc': np.float64(82.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.1), 'acc': np.float64(87.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.92), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.64), 'acc': np.float64(88.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 87.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.17), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.81), 'acc': 69.57, 'f1': 78.67, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(81.42), 'acc': np.float64(81.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.15), 'acc': np.float64(86.54), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.55), 'acc': np.float64(95.62), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.38), 'acc': np.float64(88.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.58), 'acc': 86.22, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.08), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.32), 'acc': 74.09, 'f1': 81.29, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(80.48), 'acc': np.float64(80.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.06), 'acc': np.float64(84.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.94), 'acc': np.float64(94.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.61), 'acc': np.float64(87.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.86), 'acc': 84.84, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.27), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.31), 'acc': 71.54, 'f1': 79.69, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(82.71), 'acc': np.float64(82.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.59), 'acc': np.float64(87.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.99), 'acc': np.float64(96.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.52), 'acc': np.float64(88.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.96), 'acc': 87.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.77), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.73), 'acc': 73.51, 'f1': 80.95, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(82.36), 'acc': np.float64(82.48), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.85), 'acc': np.float64(85.88), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.76), 'acc': np.float64(95.89), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.88), 'acc': np.float64(88.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.19), 'acc': 87.2, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.34), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.9), 'acc': 71.13, 'f1': 79.16, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(81.12), 'acc': np.float64(81.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.33), 'acc': np.float64(85.22), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.21), 'acc': np.float64(95.24), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.73), 'acc': np.float64(87.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.39), 'acc': 86.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.33), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.59), 'acc': 73.45, 'f1': 80.96, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(82.31), 'acc': np.float64(82.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.06), 'acc': np.float64(86.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.82), 'acc': np.float64(95.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.72), 'acc': np.float64(87.93), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 87.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.22), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.71), 'acc': 72.58, 'f1': 80.73, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(82.3), 'acc': np.float64(82.07), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.08), 'acc': np.float64(87.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.91), 'acc': np.float64(95.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.59), 'acc': np.float64(88.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.16), 'acc': 87.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.12), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.54), 'acc': 70.03, 'f1': 78.98, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(80.9), 'acc': np.float64(80.88), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.25), 'acc': np.float64(86.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.58), 'acc': np.float64(95.7), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.43), 'acc': np.float64(88.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.89), 'acc': 86.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.52), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.83), 'acc': 73.22, 'f1': 80.64, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(79.74), 'acc': np.float64(79.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.07), 'acc': np.float64(84.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.01), 'acc': np.float64(95.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.65), 'acc': np.float64(87.93), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.44), 'acc': 85.01, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.68), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.72), 'acc': 70.96, 'f1': 79.03, 'ndev': 4076, 'ntest': 1725}"
