model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(84.73), 'acc': np.float64(85.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.13), 'acc': np.float64(87.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.99), 'acc': np.float64(93.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.15), 'acc': np.float64(86.08), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.81), 'acc': 88.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(61.3), 'acc': 65.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.57), 'acc': 70.9, 'f1': 80.62, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(87.45), 'acc': np.float64(87.41), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.0), 'acc': np.float64(91.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.08), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.66), 'acc': np.float64(90.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.99), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.47), 'acc': 76.81, 'f1': 83.29, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(87.31), 'acc': np.float64(87.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.8), 'acc': np.float64(91.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.03), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.96), 'acc': np.float64(90.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.14), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.1), 'acc': 76.06, 'f1': 82.84, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(87.44), 'acc': np.float64(87.48), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.02), 'acc': np.float64(91.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.1), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.66), 'acc': np.float64(90.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.97), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.87), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.18), 'acc': 75.59, 'f1': 82.75, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(87.3), 'acc': np.float64(87.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.78), 'acc': np.float64(91.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.05), 'acc': np.float64(96.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.96), 'acc': np.float64(90.32), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.74), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.2), 'acc': 76.12, 'f1': 82.73, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(87.14), 'acc': np.float64(87.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.53), 'acc': np.float64(91.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.89), 'acc': np.float64(95.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.7), 'acc': np.float64(90.11), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.39), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.32), 'acc': 75.19, 'f1': 82.44, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(87.16), 'acc': np.float64(87.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.58), 'acc': np.float64(91.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.93), 'acc': np.float64(95.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.67), 'acc': np.float64(90.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.61), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.23), 'acc': 76.35, 'f1': 83.13, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(83.94), 'acc': np.float64(84.13), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.15), 'acc': np.float64(87.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.11), 'acc': np.float64(94.25), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.78), 'acc': np.float64(86.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.44), 'acc': 87.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(60.29), 'acc': 61.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.73), 'acc': 71.01, 'f1': 80.69, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(86.94), 'acc': np.float64(86.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.01), 'acc': np.float64(91.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.68), 'acc': np.float64(90.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 91.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.6), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.47), 'acc': 75.42, 'f1': 82.2, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(86.84), 'acc': np.float64(86.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.81), 'acc': np.float64(91.18), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.03), 'acc': np.float64(95.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.06), 'acc': np.float64(90.29), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.51), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.42), 'acc': 76.12, 'f1': 82.86, 'ndev': 4076, 'ntest': 1725}"
