,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,84.73,87.13,93.99,86.15,86.81,61.3,71.57,81.66857142857144
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,87.45,91.0,96.08,90.66,91.86,88.99,76.47,88.92999999999999
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,87.31,90.8,96.03,89.96,91.86,89.14,76.1,88.74285714285715
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,87.44,91.02,96.1,90.66,91.97,88.87,76.18,88.89142857142858
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,87.3,90.78,96.05,89.96,91.74,88.74,76.2,88.68142857142857
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,87.14,90.53,95.89,89.7,91.63,88.39,76.32,88.5142857142857
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-avg,87.16,90.58,95.93,89.67,91.51,88.61,76.23,88.52714285714286
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,83.94,87.15,94.11,86.78,85.44,60.29,70.73,81.2057142857143
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.94,91.01,96.07,90.68,91.86,89.6,76.47,88.94714285714285
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.84,90.81,96.03,90.06,91.17,89.51,76.42,88.69142857142857
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.94,91.0,96.1,90.67,91.86,89.16,76.42,88.87857142857142
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.84,90.81,96.03,90.06,91.28,89.12,76.35,88.64142857142858
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.67,90.51,95.91,89.85,91.86,89.25,76.86,88.70142857142858
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-avg,86.67,90.53,95.92,89.89,91.63,89.01,76.67,88.61714285714285
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,84.06,87.16,94.15,86.92,86.12,60.35,70.63,81.34142857142858
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,87.02,91.02,96.06,90.66,92.09,89.38,77.06,89.04142857142857
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.95,90.8,96.03,90.05,91.28,89.58,76.23,88.70285714285716
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,87.03,90.99,96.1,90.68,91.86,89.03,76.37,88.86571428571429
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.95,90.79,96.04,90.06,91.4,89.01,76.4,88.66428571428571
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.77,90.53,95.9,89.83,91.51,89.12,76.67,88.61857142857143
