model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(84.92), 'acc': np.float64(84.8), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.54), 'acc': np.float64(80.27), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.0), 'acc': np.float64(95.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.49), 'acc': np.float64(87.61), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.12), 'acc': 87.97, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(63.11), 'acc': 65.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.48), 'acc': 69.8, 'f1': 80.8, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(87.34), 'acc': np.float64(87.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.91), 'acc': np.float64(91.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.86), 'acc': np.float64(95.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.5), 'acc': np.float64(90.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.28), 'acc': 92.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.15), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.69), 'acc': 76.52, 'f1': 83.41, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(87.17), 'acc': np.float64(87.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.78), 'acc': np.float64(90.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.76), 'acc': np.float64(95.72), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.05), 'acc': np.float64(90.11), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.71), 'acc': 92.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.1), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.52), 'acc': 76.17, 'f1': 83.29, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(87.39), 'acc': np.float64(87.31), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.95), 'acc': np.float64(91.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.92), 'acc': np.float64(95.89), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.53), 'acc': np.float64(90.6), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.28), 'acc': 92.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.82), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.57), 'acc': 76.93, 'f1': 83.78, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(87.26), 'acc': np.float64(87.03), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.79), 'acc': np.float64(90.73), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.84), 'acc': np.float64(95.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.04), 'acc': np.float64(90.16), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 91.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.93), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.25), 'acc': 76.41, 'f1': 83.24, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(87.09), 'acc': np.float64(86.98), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.84), 'acc': np.float64(90.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.67), 'acc': np.float64(95.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.98), 'acc': np.float64(90.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.37), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.91), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.3), 'acc': 75.65, 'f1': 82.67, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(87.11), 'acc': np.float64(86.97), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.84), 'acc': np.float64(91.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.68), 'acc': np.float64(95.76), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.02), 'acc': np.float64(90.14), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.25), 'acc': 92.09, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.97), 'acc': 94.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.64), 'acc': 76.81, 'f1': 83.43, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(84.78), 'acc': np.float64(84.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(88.18), 'acc': np.float64(88.35), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.74), 'acc': np.float64(94.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.5), 'acc': np.float64(87.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.88), 'acc': 89.24, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(63.65), 'acc': 68.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.39), 'acc': 71.54, 'f1': 80.45, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(87.41), 'acc': np.float64(87.43), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.9), 'acc': np.float64(91.37), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.8), 'acc': np.float64(90.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.33), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.87), 'acc': 73.51, 'f1': 81.08, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(87.22), 'acc': np.float64(87.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.69), 'acc': np.float64(91.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.25), 'acc': np.float64(90.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.83), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.38), 'acc': 94.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.46), 'acc': 73.62, 'f1': 81.41, 'ndev': 4076, 'ntest': 1725}"
