model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(84.74), 'acc': np.float64(84.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.09), 'acc': np.float64(86.86), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.06), 'acc': np.float64(94.09), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.0), 'acc': np.float64(86.38), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.84), 'acc': 88.91, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(61.56), 'acc': 68.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.93), 'acc': 70.78, 'f1': 80.3, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(87.46), 'acc': np.float64(87.47), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.0), 'acc': np.float64(91.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.08), 'acc': np.float64(96.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.74), 'acc': np.float64(90.86), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.18), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.59), 'acc': 75.42, 'f1': 82.52, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(87.35), 'acc': np.float64(87.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.79), 'acc': np.float64(91.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.0), 'acc': np.float64(96.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.99), 'acc': np.float64(90.32), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 92.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.83), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.01), 'acc': 76.29, 'f1': 83.16, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(87.45), 'acc': np.float64(87.54), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.01), 'acc': np.float64(91.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.74), 'acc': np.float64(90.94), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.88), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.45), 'acc': 76.46, 'f1': 83.1, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(87.32), 'acc': np.float64(87.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.77), 'acc': np.float64(91.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.05), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.02), 'acc': np.float64(90.37), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 92.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.68), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.2), 'acc': 77.04, 'f1': 83.58, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(87.15), 'acc': np.float64(87.15), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.55), 'acc': np.float64(91.05), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.84), 'acc': np.float64(95.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.79), 'acc': np.float64(90.12), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.76), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.4), 'acc': 75.83, 'f1': 82.66, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(87.15), 'acc': np.float64(87.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.51), 'acc': np.float64(90.97), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.88), 'acc': np.float64(95.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.77), 'acc': np.float64(90.13), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.59), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.54), 'acc': 76.81, 'f1': 83.55, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(84.01), 'acc': np.float64(84.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.09), 'acc': np.float64(87.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.1), 'acc': np.float64(94.15), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.8), 'acc': np.float64(86.64), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.01), 'acc': 86.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(60.24), 'acc': 65.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.66), 'acc': 71.07, 'f1': 80.7, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.92), 'acc': np.float64(86.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.01), 'acc': np.float64(91.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.67), 'acc': np.float64(90.78), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.4), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.86), 'acc': 75.65, 'f1': 82.46, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.84), 'acc': np.float64(86.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.8), 'acc': np.float64(91.18), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.04), 'acc': np.float64(95.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.04), 'acc': np.float64(90.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 92.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.73), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.57), 'acc': 76.87, 'f1': 83.45, 'ndev': 4076, 'ntest': 1725}"
