,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,84.74,87.09,94.06,86.0,87.84,61.56,71.93,81.88857142857144
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,87.46,91.0,96.08,90.74,91.86,89.18,76.59,88.98714285714286
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,87.35,90.79,96.0,89.99,91.51,88.83,76.01,88.64
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,87.45,91.01,96.07,90.74,91.86,88.88,76.45,88.92285714285715
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,87.32,90.77,96.05,90.02,91.51,88.68,76.2,88.64999999999999
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,87.15,90.55,95.84,89.79,91.63,88.76,76.4,88.58857142857143
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls_avg,87.15,90.51,95.88,89.77,91.51,88.59,76.54,88.5642857142857
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,84.01,87.09,94.1,86.8,86.01,60.24,70.66,81.27285714285715
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.92,91.01,96.06,90.67,91.74,89.4,76.86,88.95142857142858
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.84,90.8,96.04,90.04,91.17,89.73,76.57,88.74142857142859
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.93,91.0,96.11,90.65,91.86,88.99,76.35,88.84142857142858
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.81,90.8,96.05,90.06,91.4,89.03,76.32,88.63857142857144
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.61,90.5,95.91,89.89,91.86,89.29,76.89,88.70714285714284
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,86.62,90.54,95.94,89.87,91.74,89.09,76.37,88.5957142857143
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,84.01,87.19,94.09,86.53,85.89,60.38,70.98,81.29571428571428
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,87.02,91.0,96.06,90.69,91.86,89.32,76.03,88.85428571428572
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.93,90.81,96.03,90.05,91.28,89.75,76.62,88.78142857142858
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,87.08,91.01,96.09,90.7,91.97,89.09,76.62,88.93714285714286
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.95,90.8,96.04,90.05,91.4,89.11,76.25,88.65714285714286
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.72,90.52,95.91,89.82,91.63,88.99,76.52,88.58714285714284
20,deberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,86.77,90.56,95.94,89.82,91.86,89.16,76.54,88.66428571428571
21,deberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,85.33,88.32,94.74,87.31,87.73,64.51,71.47,82.77285714285713
22,deberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,87.6,91.77,95.84,89.66,91.17,85.25,74.43,87.96000000000001
23,deberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,87.49,91.51,95.77,89.47,90.83,85.53,75.07,87.95285714285716
24,deberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,87.59,91.66,95.89,89.71,91.06,85.14,74.78,87.97571428571428
25,deberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,87.48,91.48,95.82,89.51,90.71,85.38,74.53,87.84428571428569
26,deberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,87.3,91.23,95.7,89.49,91.51,85.71,74.16,87.87142857142858
27,deberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,cnn_1d_default-cls_avg,87.3,91.23,95.71,89.47,91.4,85.38,74.9,87.91285714285713
28,deberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,84.41,87.45,94.32,87.14,87.61,60.29,71.25,81.78142857142858
29,deberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,87.24,91.22,96.12,90.69,92.2,89.2,76.79,89.06571428571428
30,deberta-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,87.12,91.03,96.06,90.09,91.63,89.2,76.27,88.77142857142859
31,deberta-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,87.27,91.23,96.16,90.66,92.09,88.99,76.57,88.99571428571429
32,deberta-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,87.14,91.02,96.1,90.11,91.74,88.92,76.2,88.74714285714286
33,deberta-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,86.92,90.74,95.96,89.95,91.97,89.07,76.81,88.7742857142857
34,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,cnn_1d_default-cls_avg,86.92,90.76,95.99,90.01,91.74,88.88,76.2,88.64285714285714
35,deberta-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls_avg,84.44,87.49,94.36,86.94,88.42,60.58,71.37,81.94285714285715
36,deberta-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls_avg,87.27,91.21,96.1,90.7,92.2,89.23,76.84,89.07857142857142
37,deberta-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls_avg,87.22,90.98,96.03,90.11,91.74,89.18,76.69,88.85000000000001
38,deberta-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls_avg,87.3,91.19,96.14,90.7,92.09,89.14,76.35,88.98714285714286
39,deberta-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls_avg,87.19,90.98,96.09,90.15,91.4,89.18,76.3,88.75571428571428
40,deberta-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.99,90.72,95.93,89.97,91.97,88.98,76.62,88.74000000000001
41,deberta-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,cnn_1d_default-cls_avg,87.01,90.72,95.96,89.94,91.74,88.74,76.5,88.65857142857143
