model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(82.95), 'acc': np.float64(83.17), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(73.01), 'acc': np.float64(74.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.91), 'acc': np.float64(90.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(78.14), 'acc': np.float64(78.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.68), 'acc': 85.61, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(59.08), 'acc': 59.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.07), 'acc': 71.71, 'f1': 81.53, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(88.0), 'acc': np.float64(88.13), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.61), 'acc': np.float64(91.82), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.28), 'acc': np.float64(96.29), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.36), 'acc': np.float64(91.38), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.54), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.52), 'acc': 76.41, 'f1': 83.5, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(87.96), 'acc': np.float64(88.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.47), 'acc': np.float64(91.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.28), 'acc': np.float64(96.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.03), 'acc': np.float64(91.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.47), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.59), 'acc': 76.23, 'f1': 83.28, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(88.02), 'acc': np.float64(88.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.6), 'acc': np.float64(91.82), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.3), 'acc': np.float64(96.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.35), 'acc': np.float64(91.38), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.32), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.62), 'acc': 77.28, 'f1': 83.99, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(87.98), 'acc': np.float64(88.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.46), 'acc': np.float64(91.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.28), 'acc': np.float64(96.29), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.04), 'acc': np.float64(91.21), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.34), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.32), 'acc': 76.81, 'f1': 83.46, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(87.96), 'acc': np.float64(88.03), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.5), 'acc': np.float64(91.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.29), 'acc': np.float64(96.32), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.98), 'acc': np.float64(91.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.49), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.77), 'acc': 76.0, 'f1': 83.06, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(87.95), 'acc': np.float64(88.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.49), 'acc': np.float64(91.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.3), 'acc': np.float64(96.34), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.97), 'acc': np.float64(91.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.34), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.94), 'acc': 76.87, 'f1': 83.46, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(80.48), 'acc': np.float64(80.72), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(74.38), 'acc': np.float64(75.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.67), 'acc': np.float64(91.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.14), 'acc': np.float64(82.68), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.86), 'acc': 86.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(60.58), 'acc': 62.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.38), 'acc': 67.88, 'f1': 80.09, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(87.39), 'acc': np.float64(87.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.51), 'acc': np.float64(91.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.26), 'acc': np.float64(96.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.12), 'acc': np.float64(91.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 92.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.51), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(77.38), 'acc': 77.04, 'f1': 83.78, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(87.32), 'acc': np.float64(87.45), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.4), 'acc': np.float64(91.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.26), 'acc': np.float64(96.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.95), 'acc': np.float64(91.15), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.54), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(77.11), 'acc': 76.64, 'f1': 83.54, 'ndev': 4076, 'ntest': 1725}"
