model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.39), 'acc': np.float64(85.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.44), 'acc': np.float64(79.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.62), 'acc': np.float64(94.69), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.86), 'acc': np.float64(86.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.53), 'acc': 88.58, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(60.29), 'acc': 64.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.19), 'acc': 69.39, 'f1': 80.67, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(88.0), 'acc': np.float64(88.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.92), 'acc': np.float64(91.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.97), 'acc': np.float64(95.89), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.81), 'acc': np.float64(90.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 92.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.25), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.69), 'acc': 76.12, 'f1': 83.16, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.98), 'acc': np.float64(88.05), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.77), 'acc': np.float64(90.86), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.93), 'acc': np.float64(95.88), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.77), 'acc': np.float64(90.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.29), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.42), 'acc': 76.12, 'f1': 83.02, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(88.01), 'acc': np.float64(88.03), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.91), 'acc': np.float64(91.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.01), 'acc': np.float64(95.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.82), 'acc': np.float64(90.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.06), 'acc': 92.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.7), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.5), 'acc': 76.64, 'f1': 83.53, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.95), 'acc': np.float64(87.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.78), 'acc': np.float64(90.78), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.98), 'acc': np.float64(95.85), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.76), 'acc': np.float64(90.93), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.83), 'acc': 92.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.9), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.37), 'acc': 76.06, 'f1': 83.11, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.91), 'acc': np.float64(88.09), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.81), 'acc': np.float64(91.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.99), 'acc': np.float64(95.82), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.71), 'acc': np.float64(90.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.09), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.47), 'acc': 75.54, 'f1': 82.42, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.95), 'acc': np.float64(88.07), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.82), 'acc': np.float64(90.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.02), 'acc': np.float64(95.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.71), 'acc': np.float64(90.83), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 92.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.96), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.55), 'acc': 76.35, 'f1': 83.14, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(84.75), 'acc': np.float64(84.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.66), 'acc': np.float64(87.9), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.11), 'acc': np.float64(94.1), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.5), 'acc': np.float64(86.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 87.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(64.78), 'acc': 65.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.17), 'acc': 72.7, 'f1': 81.77, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.78), 'acc': np.float64(87.6), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.39), 'acc': np.float64(91.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.21), 'acc': np.float64(96.19), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.09), 'acc': np.float64(91.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.78), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.86), 'acc': 75.54, 'f1': 82.91, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.72), 'acc': np.float64(87.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.29), 'acc': np.float64(91.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.21), 'acc': np.float64(96.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.98), 'acc': np.float64(91.01), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.94), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.91), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.54), 'acc': 75.88, 'f1': 83.14, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_LOO-SENTEVAL,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.82), 'acc': np.float64(87.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.46), 'acc': np.float64(91.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.26), 'acc': np.float64(96.24), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.08), 'acc': np.float64(91.13), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.4), 'acc': 92.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.58), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.64), 'acc': 74.55, 'f1': 81.97, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.74), 'acc': np.float64(87.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.32), 'acc': np.float64(91.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.24), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.97), 'acc': np.float64(91.05), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.94), 'acc': 92.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.62), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.73), 'acc': 75.42, 'f1': 82.69, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.73), 'acc': np.float64(87.63), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.39), 'acc': np.float64(91.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.21), 'acc': np.float64(96.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.91), 'acc': np.float64(91.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.83), 'acc': 92.97, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.1), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.1), 'acc': 75.65, 'f1': 82.66, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,2304,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.77), 'acc': np.float64(87.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.41), 'acc': np.float64(91.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.26), 'acc': np.float64(96.24), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.94), 'acc': np.float64(91.05), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.06), 'acc': 92.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.71), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.23), 'acc': 76.17, 'f1': 83.29, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_AVG-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(84.86), 'acc': np.float64(85.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.29), 'acc': np.float64(87.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.23), 'acc': np.float64(94.32), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.66), 'acc': np.float64(86.78), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 87.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(64.43), 'acc': 70.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.39), 'acc': 71.07, 'f1': 80.55, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_AVG-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.85), 'acc': np.float64(87.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.43), 'acc': np.float64(91.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.2), 'acc': np.float64(96.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.05), 'acc': np.float64(91.05), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.94), 'acc': 92.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.28), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.86), 'acc': 76.29, 'f1': 83.43, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_AVG-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.78), 'acc': np.float64(87.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.32), 'acc': np.float64(91.37), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.21), 'acc': np.float64(96.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.95), 'acc': np.float64(91.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.83), 'acc': 92.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.24), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.93), 'acc': 75.13, 'f1': 82.5, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_AVG-SENTEVAL,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.89), 'acc': np.float64(87.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.44), 'acc': np.float64(91.37), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.26), 'acc': np.float64(96.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.06), 'acc': np.float64(91.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.4), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.8), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.86), 'acc': 75.59, 'f1': 82.74, 'ndev': 4076, 'ntest': 1725}"
