,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.56,79.31,94.69,86.82,88.58,64.0,69.39,81.19285714285715
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,88.16,91.36,95.89,90.87,92.15,95.2,76.12,89.96428571428571
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,88.05,90.86,95.88,90.84,92.53,95.6,76.12,89.98285714285714
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,88.03,91.42,95.9,90.97,92.26,95.4,76.64,90.08857142857143
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,87.99,90.78,95.85,90.93,92.75,95.8,76.06,90.02285714285715
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,88.09,91.13,95.82,90.84,92.53,95.2,75.54,89.87857142857142
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,88.07,90.99,95.87,90.83,92.7,95.8,76.35,90.08714285714287
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,84.87,87.9,94.1,86.35,87.86,65.6,72.7,82.76857142857145
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,87.6,91.58,96.19,91.04,92.37,95.2,75.54,89.93142857142857
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,87.55,91.31,96.02,91.01,92.48,95.6,75.88,89.97857142857143
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,87.56,91.36,96.24,91.13,92.7,95.6,74.55,89.87714285714286
