model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(82.68), 'acc': np.float64(82.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.38), 'acc': np.float64(77.57), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.98), 'acc': np.float64(90.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(79.13), 'acc': np.float64(79.6), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 84.79, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(58.71), 'acc': 64.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.68), 'acc': 71.71, 'f1': 81.42, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(88.02), 'acc': np.float64(88.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.51), 'acc': np.float64(91.87), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.29), 'acc': np.float64(96.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.37), 'acc': np.float64(91.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.97), 'acc': 92.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.49), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.77), 'acc': 75.71, 'f1': 82.65, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(87.98), 'acc': np.float64(88.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.36), 'acc': np.float64(91.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.28), 'acc': np.float64(96.28), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.06), 'acc': np.float64(91.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 92.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.45), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.69), 'acc': 76.35, 'f1': 83.22, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(88.02), 'acc': np.float64(88.07), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.5), 'acc': np.float64(91.89), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.29), 'acc': np.float64(96.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.35), 'acc': np.float64(91.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.97), 'acc': 92.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.27), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.64), 'acc': 76.75, 'f1': 83.63, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(87.96), 'acc': np.float64(88.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.36), 'acc': np.float64(91.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.3), 'acc': np.float64(96.28), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.05), 'acc': np.float64(91.22), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.09, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.38), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.4), 'acc': 76.23, 'f1': 83.14, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(87.94), 'acc': np.float64(88.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.4), 'acc': np.float64(91.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.3), 'acc': np.float64(96.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.0), 'acc': np.float64(91.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 92.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.4), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.72), 'acc': 75.48, 'f1': 82.78, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(87.97), 'acc': np.float64(88.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.41), 'acc': np.float64(91.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.31), 'acc': np.float64(96.38), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.0), 'acc': np.float64(91.21), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.51), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.84), 'acc': 76.87, 'f1': 83.72, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(81.18), 'acc': np.float64(81.49), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(75.78), 'acc': np.float64(76.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.04), 'acc': np.float64(92.24), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.61), 'acc': np.float64(83.22), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.63), 'acc': 87.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(59.78), 'acc': 60.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.38), 'acc': 67.88, 'f1': 80.03, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(87.4), 'acc': np.float64(87.43), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.54), 'acc': np.float64(91.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.26), 'acc': np.float64(96.25), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.13), 'acc': np.float64(91.22), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.47), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(77.43), 'acc': 76.93, 'f1': 83.74, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(87.34), 'acc': np.float64(87.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.41), 'acc': np.float64(91.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.25), 'acc': np.float64(96.15), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.97), 'acc': np.float64(91.16), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.69), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.84), 'acc': 76.64, 'f1': 83.53, 'ndev': 4076, 'ntest': 1725}"
