,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.89,77.57,90.07,79.6,84.79,64.2,71.71,78.69000000000001
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.08,91.87,96.33,91.35,92.26,96.0,75.71,90.22857142857143
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.11,91.42,96.28,91.24,92.15,96.2,76.35,90.25000000000001
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.07,91.89,96.26,91.35,92.31,95.8,76.75,90.34714285714286
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.06,91.31,96.28,91.22,92.09,96.4,76.23,90.22714285714287
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.14,91.66,96.35,91.24,92.86,96.0,75.48,90.24714285714286
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.06,91.66,96.38,91.21,92.64,96.4,76.87,90.46000000000001
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.49,76.66,92.24,83.22,87.15,60.2,67.88,78.40571428571427
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.43,91.79,96.25,91.22,91.98,96.2,76.93,90.25714285714288
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.5,91.47,96.15,91.16,91.82,96.4,76.64,90.16285714285713
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.44,91.74,96.24,91.21,92.09,96.2,77.74,90.38000000000001
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.48,91.52,96.27,91.17,91.87,96.2,76.35,90.12285714285714
