,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.68,76.38,89.98,79.13,82.45,58.71,70.68,77.14428571428572
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.02,91.51,96.29,91.37,91.97,89.49,76.77,89.34571428571428
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.98,91.36,96.28,91.06,91.51,89.45,76.69,89.18999999999998
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.02,91.5,96.29,91.35,91.97,89.27,76.64,89.29142857142857
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.96,91.36,96.3,91.05,91.63,89.38,76.4,89.15428571428572
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.94,91.4,96.3,91.0,91.51,89.4,76.72,89.18142857142857
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.97,91.41,96.31,91.0,91.63,89.51,76.84,89.23857142857143
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.18,75.78,92.04,82.61,84.63,59.78,68.38,77.77142857142857
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.4,91.54,96.26,91.13,91.74,89.47,77.43,89.28142857142858
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.34,91.41,96.25,90.97,91.74,89.69,76.84,89.17714285714287
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.41,91.54,96.29,91.12,91.74,89.31,77.23,89.23428571428573
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.34,91.42,96.27,90.96,91.63,89.51,76.94,89.15285714285713
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.32,91.44,96.27,90.91,91.63,89.53,77.43,89.21857142857142
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.33,91.45,96.28,90.9,91.4,89.58,77.01,89.13571428571429
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,81.58,75.81,91.84,82.11,84.75,59.98,68.57,77.80571428571429
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.54,91.53,96.26,91.16,91.74,89.58,77.16,89.28142857142858
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.46,91.4,96.26,90.99,91.86,89.65,77.06,89.24000000000001
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.53,91.52,96.29,91.14,91.74,89.42,77.31,89.27857142857144
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.47,91.4,96.26,91.0,91.74,89.51,76.81,89.17
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.49,91.44,96.27,90.94,91.63,89.76,76.99,89.21714285714286
20,deberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.47,91.44,96.28,90.94,91.28,89.64,76.99,89.14857142857143
21,deberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.46,88.49,94.49,86.76,88.88,66.03,71.54,83.09285714285714
22,deberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.05,91.54,96.0,90.26,91.4,86.43,75.64,88.47428571428573
23,deberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.05,91.42,95.98,90.3,90.94,86.52,75.56,88.39571428571428
24,deberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.08,91.55,96.03,90.31,91.17,86.15,75.96,88.46428571428571
25,deberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.08,91.45,96.04,90.31,91.17,86.24,75.42,88.38714285714285
26,deberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,88.0,91.47,96.03,90.3,91.63,86.48,76.27,88.59714285714286
