model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(84.61), 'acc': np.float64(84.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.25), 'acc': np.float64(87.26), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.06), 'acc': np.float64(94.1), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.15), 'acc': np.float64(86.27), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.04), 'acc': 88.14, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(61.19), 'acc': 66.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.74), 'acc': 70.49, 'f1': 80.11, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(87.49), 'acc': np.float64(87.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.01), 'acc': np.float64(91.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.09), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.65), 'acc': np.float64(90.81), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.16), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.59), 'acc': 76.17, 'f1': 83.02, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(87.32), 'acc': np.float64(87.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.81), 'acc': np.float64(91.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.01), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.95), 'acc': np.float64(90.26), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.88), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.35), 'acc': 74.9, 'f1': 82.09, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(87.43), 'acc': np.float64(87.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.99), 'acc': np.float64(91.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.08), 'acc': np.float64(96.09), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.64), 'acc': np.float64(90.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.97), 'acc': 92.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.99), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.54), 'acc': 77.04, 'f1': 83.43, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(87.34), 'acc': np.float64(87.41), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.82), 'acc': np.float64(91.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(95.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.96), 'acc': np.float64(90.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.7), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.1), 'acc': 75.88, 'f1': 82.95, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(87.15), 'acc': np.float64(87.17), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.56), 'acc': np.float64(91.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.89), 'acc': np.float64(95.95), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.67), 'acc': np.float64(90.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 92.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.76), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.55), 'acc': 75.71, 'f1': 82.58, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(87.15), 'acc': np.float64(87.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.57), 'acc': np.float64(91.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.91), 'acc': np.float64(95.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.66), 'acc': np.float64(90.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.59), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.47), 'acc': 75.94, 'f1': 82.83, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(84.01), 'acc': np.float64(84.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.22), 'acc': np.float64(87.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.18), 'acc': np.float64(94.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.57), 'acc': np.float64(86.37), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.47), 'acc': 88.3, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(60.62), 'acc': 62.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.66), 'acc': 70.78, 'f1': 80.67, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(86.95), 'acc': np.float64(86.95), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.0), 'acc': np.float64(91.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.67), 'acc': np.float64(90.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.49), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(77.11), 'acc': 76.35, 'f1': 82.9, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(86.87), 'acc': np.float64(86.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.82), 'acc': np.float64(91.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.03), 'acc': np.float64(95.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.03), 'acc': np.float64(90.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.28), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.29), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.3), 'acc': 75.94, 'f1': 82.84, 'ndev': 4076, 'ntest': 1725}"
