model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(85.33), 'acc': np.float64(85.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.11), 'acc': np.float64(80.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.85), 'acc': np.float64(94.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.23), 'acc': np.float64(87.17), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.16), 'acc': 87.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(62.62), 'acc': 66.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.38), 'acc': 69.22, 'f1': 80.43, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(87.38), 'acc': np.float64(87.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.91), 'acc': np.float64(91.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.69), 'acc': np.float64(95.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.44), 'acc': np.float64(90.41), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.25), 'acc': 92.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.9), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.4), 'acc': 76.06, 'f1': 83.04, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(87.28), 'acc': np.float64(87.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.76), 'acc': np.float64(90.92), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.63), 'acc': np.float64(95.59), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.15), 'acc': np.float64(90.39), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.56), 'acc': 91.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.88), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.57), 'acc': 76.06, 'f1': 82.91, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(87.4), 'acc': np.float64(87.34), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.91), 'acc': np.float64(91.26), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.77), 'acc': np.float64(95.7), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.51), 'acc': np.float64(90.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.6), 'acc': 91.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.59), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.23), 'acc': 76.52, 'f1': 83.39, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(87.38), 'acc': np.float64(87.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.73), 'acc': np.float64(90.73), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.72), 'acc': np.float64(95.69), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.13), 'acc': np.float64(90.32), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.79), 'acc': 91.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.87), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.35), 'acc': 76.46, 'f1': 83.36, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(87.1), 'acc': np.float64(87.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.83), 'acc': np.float64(91.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.37), 'acc': np.float64(95.42), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.05), 'acc': np.float64(90.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.25), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.94), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.64), 'acc': 76.12, 'f1': 82.98, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(87.16), 'acc': np.float64(87.13), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.82), 'acc': np.float64(90.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.46), 'acc': np.float64(95.37), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.06), 'acc': np.float64(90.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.02), 'acc': 91.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.88), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.62), 'acc': 76.06, 'f1': 82.81, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(84.94), 'acc': np.float64(84.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(88.48), 'acc': np.float64(88.37), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.91), 'acc': np.float64(94.89), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.36), 'acc': np.float64(87.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.88), 'acc': 88.52, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(64.18), 'acc': 67.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.37), 'acc': 71.42, 'f1': 80.57, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(87.46), 'acc': np.float64(87.58), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.76), 'acc': np.float64(91.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.08), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.6), 'acc': np.float64(90.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 92.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.14), 'acc': 94.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.97), 'acc': 73.86, 'f1': 81.46, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(87.39), 'acc': np.float64(87.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.5), 'acc': np.float64(90.81), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.04), 'acc': np.float64(96.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.13), 'acc': np.float64(90.19), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.71), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.25), 'acc': 94.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.45), 'acc': 73.86, 'f1': 82.14, 'ndev': 4076, 'ntest': 1725}"
