model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(84.76), 'acc': np.float64(85.04), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.25), 'acc': np.float64(87.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.91), 'acc': np.float64(93.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.86), 'acc': np.float64(86.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.89), 'acc': 87.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(61.19), 'acc': 65.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.98), 'acc': 70.32, 'f1': 80.28, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(87.43), 'acc': np.float64(87.45), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.97), 'acc': np.float64(91.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.64), 'acc': np.float64(90.81), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.16), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.42), 'acc': 76.87, 'f1': 83.41, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(87.33), 'acc': np.float64(87.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.78), 'acc': np.float64(91.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.03), 'acc': np.float64(96.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.94), 'acc': np.float64(90.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.76), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.32), 'acc': 74.84, 'f1': 81.87, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(87.39), 'acc': np.float64(87.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.96), 'acc': np.float64(91.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.09), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.64), 'acc': np.float64(90.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.97), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.05), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.37), 'acc': 76.17, 'f1': 83.05, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(87.28), 'acc': np.float64(87.36), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.78), 'acc': np.float64(91.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.05), 'acc': np.float64(96.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.96), 'acc': np.float64(90.22), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.86), 'acc': 92.2, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.55), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.05), 'acc': 75.54, 'f1': 82.53, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(87.15), 'acc': np.float64(87.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.53), 'acc': np.float64(91.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.87), 'acc': np.float64(95.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.67), 'acc': np.float64(89.94), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.61), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.32), 'acc': 76.06, 'f1': 82.87, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(87.08), 'acc': np.float64(87.2), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.52), 'acc': np.float64(91.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.91), 'acc': np.float64(95.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.68), 'acc': np.float64(90.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.63), 'acc': 92.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.52), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.4), 'acc': 76.35, 'f1': 83.24, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(83.97), 'acc': np.float64(84.18), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.18), 'acc': np.float64(87.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.15), 'acc': np.float64(94.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.57), 'acc': np.float64(86.26), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.01), 'acc': 86.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(60.27), 'acc': 63.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.63), 'acc': 70.61, 'f1': 80.79, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.9), 'acc': np.float64(86.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.99), 'acc': np.float64(91.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.65), 'acc': np.float64(90.74), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.42), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.32), 'acc': 76.7, 'f1': 83.19, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.8), 'acc': np.float64(86.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.78), 'acc': np.float64(91.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.0), 'acc': np.float64(96.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.03), 'acc': np.float64(90.29), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 92.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.55), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.1), 'acc': 76.93, 'f1': 83.46, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.94), 'acc': np.float64(86.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.97), 'acc': np.float64(91.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.09), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.65), 'acc': np.float64(90.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.74), 'acc': 91.87, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.09), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.69), 'acc': 77.51, 'f1': 83.91, 'ndev': 4076, 'ntest': 1725}"
