,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.04,87.29,93.93,86.25,87.59,65.2,70.32,82.23142857142857
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.45,91.39,96.02,90.81,92.48,95.8,76.87,90.11714285714287
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.42,91.28,96.02,90.25,92.48,95.4,74.84,89.67
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.5,91.34,96.07,90.82,92.48,95.4,76.17,89.96857142857142
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.36,91.02,96.01,90.22,92.2,95.4,75.54,89.67857142857143
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.16,91.13,95.91,89.94,92.53,95.4,76.06,89.73285714285713
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.2,91.02,95.96,90.09,92.59,95.8,76.35,89.85857142857142
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.18,87.36,94.23,86.26,86.93,63.8,70.61,81.91
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.89,91.34,96.04,90.74,91.93,95.8,76.7,89.92
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.85,91.13,96.0,90.29,92.31,95.8,76.93,89.90142857142857
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.86,91.34,96.05,90.79,91.87,96.2,77.51,90.08857142857143
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.94,91.18,95.98,90.3,92.04,96.0,76.0,89.77714285714286
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.88,90.94,95.92,90.16,92.15,95.6,76.41,89.72285714285714
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.76,91.0,95.89,90.1,92.15,95.6,76.99,89.78428571428572
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.19,87.31,94.11,86.57,87.59,64.4,70.61,82.11142857142856
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.02,91.31,96.05,90.73,91.93,95.6,76.46,89.87142857142858
