,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.76,87.25,93.91,85.86,85.89,61.19,71.98,81.54857142857142
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.43,90.97,96.07,90.64,91.86,89.16,76.42,88.93571428571428
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.33,90.78,96.03,89.94,91.86,88.76,76.32,88.71714285714286
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.39,90.96,96.09,90.64,91.97,89.05,76.37,88.9242857142857
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.28,90.78,96.05,89.96,91.86,88.55,76.05,88.64714285714285
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.15,90.53,95.87,89.67,91.63,88.61,76.32,88.53999999999999
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.08,90.52,95.91,89.68,91.63,88.52,76.4,88.53428571428572
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,83.97,87.18,94.15,86.57,86.01,60.27,70.63,81.25428571428571
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.9,90.99,96.06,90.65,91.74,89.42,76.32,88.86857142857141
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.8,90.78,96.0,90.03,91.17,89.55,76.1,88.63285714285715
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.94,90.97,96.09,90.65,91.74,89.09,76.69,88.88142857142859
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.81,90.78,96.02,90.05,91.28,89.07,76.13,88.59142857142857
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.6,90.5,95.88,89.81,91.97,89.2,77.06,88.71714285714286
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.64,90.51,95.89,89.82,91.63,89.22,76.47,88.59714285714287
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.03,87.24,94.12,86.43,86.12,59.76,71.07,81.25285714285714
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.02,90.98,96.06,90.66,92.09,89.42,76.54,88.96714285714286
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.92,90.78,96.0,90.03,91.28,89.34,76.54,88.69857142857143
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.09,90.99,96.08,90.66,91.86,89.16,76.86,88.95714285714284
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.91,90.79,96.04,90.03,91.28,89.07,76.3,88.63142857142854
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.69,90.5,95.88,89.8,91.51,89.16,76.72,88.60857142857142
20,deberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.73,90.52,95.89,89.79,91.74,88.94,76.72,88.61857142857143
21,deberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.59,88.67,94.97,87.2,88.07,65.57,71.39,83.0657142857143
22,deberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.49,91.48,95.83,89.57,91.4,85.53,74.53,87.97571428571428
23,deberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.38,91.21,95.75,89.41,90.71,85.69,74.24,87.77
24,deberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.54,91.45,95.87,89.65,91.63,85.44,74.51,88.01285714285713
25,deberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.45,91.24,95.82,89.41,90.83,85.51,74.73,87.85571428571428
26,deberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.23,90.99,95.6,89.4,91.63,85.89,74.56,87.89999999999999
