model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.88), 'acc': np.float64(86.09), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.2), 'acc': np.float64(91.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.11), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.56), 'acc': np.float64(89.61), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.56), 'acc': 89.73, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.56), 'acc': 87.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.49), 'acc': 71.19, 'f1': 80.65, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(86.74), 'acc': np.float64(86.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.65), 'acc': np.float64(91.84), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.12), 'acc': np.float64(96.09), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.96), 'acc': np.float64(91.03), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 91.87, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.94), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.61), 'acc': 74.9, 'f1': 82.0, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(86.04), 'acc': np.float64(86.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.04), 'acc': np.float64(90.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.88), 'acc': np.float64(95.88), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.0), 'acc': np.float64(90.14), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.6), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.99), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.82), 'acc': 72.75, 'f1': 80.4, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(86.88), 'acc': np.float64(86.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.11), 'acc': np.float64(92.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.46), 'acc': np.float64(96.48), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.95), 'acc': np.float64(91.03), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.37), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.81), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.79), 'acc': 75.19, 'f1': 82.27, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(86.53), 'acc': np.float64(86.62), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.26), 'acc': np.float64(91.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.35), 'acc': np.float64(96.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.0), 'acc': np.float64(90.12), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.28), 'acc': 91.49, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.35), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.07), 'acc': 73.22, 'f1': 80.86, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(86.45), 'acc': np.float64(86.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.18), 'acc': np.float64(91.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.38), 'acc': np.float64(90.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.83), 'acc': 91.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.41), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.54), 'acc': 74.2, 'f1': 81.29, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(86.69), 'acc': np.float64(86.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.54), 'acc': np.float64(91.63), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.35), 'acc': np.float64(96.37), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.38), 'acc': np.float64(90.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.06), 'acc': 91.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.08), 'acc': 94.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.86), 'acc': 75.01, 'f1': 82.05, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.92), 'acc': np.float64(86.04), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.23), 'acc': np.float64(90.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.05), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.53), 'acc': np.float64(89.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.22), 'acc': 90.06, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.3), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.25), 'acc': 71.59, 'f1': 80.71, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(86.62), 'acc': np.float64(86.64), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.55), 'acc': np.float64(91.63), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.12), 'acc': np.float64(96.14), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.96), 'acc': np.float64(91.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.25), 'acc': 91.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.12), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.12), 'acc': 74.84, 'f1': 81.83, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.79), 'acc': np.float64(85.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.88), 'acc': np.float64(90.01), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.89), 'acc': np.float64(95.85), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.05), 'acc': np.float64(90.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.15), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.62), 'acc': 71.77, 'f1': 79.58, 'ndev': 4076, 'ntest': 1725}"
