model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(85.99), 'acc': np.float64(86.18), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.3), 'acc': np.float64(91.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.52), 'acc': np.float64(89.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.45), 'acc': 89.79, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.24), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.78), 'acc': 71.71, 'f1': 81.0, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(86.74), 'acc': np.float64(86.67), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.64), 'acc': np.float64(91.55), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.16), 'acc': np.float64(96.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.09), 'acc': np.float64(91.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 91.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.29), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.37), 'acc': 76.06, 'f1': 83.15, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(85.83), 'acc': np.float64(86.05), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.37), 'acc': np.float64(90.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.96), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.34), 'acc': np.float64(90.37), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.14), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.92), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.24), 'acc': 73.39, 'f1': 81.2, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(86.86), 'acc': np.float64(86.9), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.06), 'acc': np.float64(92.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.45), 'acc': np.float64(96.47), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.09), 'acc': np.float64(91.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.6), 'acc': 91.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.12), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.96), 'acc': 76.64, 'f1': 83.41, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(86.46), 'acc': np.float64(86.72), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.37), 'acc': np.float64(91.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.28), 'acc': np.float64(96.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.45), 'acc': np.float64(90.53), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 90.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.28), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.16), 'acc': 75.01, 'f1': 82.29, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(86.42), 'acc': np.float64(86.63), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.26), 'acc': np.float64(91.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.11), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.72), 'acc': np.float64(90.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.92), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.2), 'acc': 75.01, 'f1': 82.24, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(86.63), 'acc': np.float64(86.66), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.52), 'acc': np.float64(91.81), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.31), 'acc': np.float64(96.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.79), 'acc': np.float64(90.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.83), 'acc': 91.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.77), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.89), 'acc': 76.12, 'f1': 82.92, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(86.02), 'acc': np.float64(86.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.43), 'acc': np.float64(91.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.02), 'acc': np.float64(95.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.54), 'acc': np.float64(89.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.79), 'acc': 90.01, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.22), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.26), 'acc': 73.39, 'f1': 81.51, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(86.61), 'acc': np.float64(86.72), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.4), 'acc': np.float64(91.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.15), 'acc': np.float64(96.14), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.09), 'acc': np.float64(91.15), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.02), 'acc': 91.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.94), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.45), 'acc': 75.07, 'f1': 82.2, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(85.89), 'acc': np.float64(86.07), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.03), 'acc': np.float64(89.8), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.97), 'acc': np.float64(96.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.21), 'acc': np.float64(90.17), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.25), 'acc': 91.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.09), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.7), 'acc': 73.57, 'f1': 80.95, 'ndev': 4076, 'ntest': 1725}"
