,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,86.18,91.31,96.01,89.54,89.79,91.8,71.71,88.04857142857144
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,86.67,91.55,96.12,91.18,91.65,96.0,76.06,89.89
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,86.05,90.23,96.04,90.37,91.16,92.8,73.39,88.57714285714285
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,86.9,92.42,96.47,91.1,91.43,95.6,76.64,90.08
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,86.72,91.5,96.33,90.53,90.94,93.2,75.01,89.17571428571429
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,86.63,91.29,96.11,90.84,91.21,95.0,75.01,89.44142857142856
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls,86.66,91.81,96.35,90.82,91.21,95.0,76.12,89.71
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,86.24,91.36,95.87,89.57,90.01,91.8,73.39,88.32000000000001
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,86.72,91.44,96.14,91.15,91.76,95.6,75.07,89.69714285714288
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,86.07,89.8,96.01,90.17,91.27,93.0,73.57,88.55571428571427
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,86.77,92.21,96.41,91.16,92.15,95.4,76.75,90.12142857142855
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,86.68,91.74,96.29,90.48,91.54,94.2,74.43,89.33714285714288
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,86.5,91.13,96.16,90.67,91.27,95.4,74.61,89.39142857142858
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,86.71,91.47,96.48,90.63,91.32,95.4,75.01,89.57428571428571
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,86.16,91.36,95.93,89.51,89.9,92.0,73.22,88.29714285714286
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,86.77,91.44,96.09,91.16,91.76,95.8,74.67,89.66999999999997
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,86.08,89.86,95.99,90.19,91.43,93.4,73.57,88.64571428571428
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,86.89,92.29,96.49,91.18,91.65,95.4,76.46,90.05142857142857
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,86.76,91.66,96.26,90.46,91.71,94.0,74.14,89.2842857142857
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,86.58,91.1,96.15,90.68,91.49,95.4,74.43,89.40428571428573
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,86.72,91.47,96.44,90.7,90.99,95.4,75.42,89.59142857142857
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-cls,86.08,91.21,95.89,89.58,89.51,92.0,71.36,87.94714285714285
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-cls,86.65,91.31,96.09,90.9,91.65,95.6,76.7,89.84285714285716
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-cls,85.92,90.38,95.97,90.1,90.61,92.4,72.75,88.30428571428571
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-cls,86.75,91.6,96.48,90.83,91.32,96.2,76.41,89.94142857142856
