,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,85.99,91.3,96.07,89.52,89.45,88.24,71.78,87.47857142857141
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,86.74,91.64,96.16,91.09,89.91,91.29,76.37,89.02857142857142
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,85.83,90.37,95.96,90.34,90.14,86.92,74.24,87.68571428571428
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,86.86,92.06,96.45,91.09,90.6,91.12,76.96,89.3057142857143
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,86.46,91.37,96.28,90.45,91.17,88.28,74.16,88.30999999999999
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,86.42,91.26,96.07,90.72,90.48,90.92,76.2,88.86714285714287
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls,86.63,91.52,96.31,90.79,90.83,90.77,76.89,89.10571428571428
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,86.02,91.43,96.02,89.54,89.79,88.22,73.26,87.75428571428571
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,86.61,91.4,96.15,91.09,90.02,90.94,76.45,88.95142857142858
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,85.89,90.03,95.97,90.21,90.25,87.09,73.7,87.59142857142857
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,86.81,92.05,96.42,91.1,90.14,91.65,76.96,89.30428571428571
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,86.44,91.27,96.34,90.31,91.06,88.88,73.94,88.32000000000001
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,86.32,91.06,96.12,90.62,90.14,90.3,75.78,88.61999999999999
