model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(85.91), 'acc': np.float64(86.05), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.18), 'acc': np.float64(90.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.05), 'acc': np.float64(96.18), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.52), 'acc': np.float64(89.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.79), 'acc': 89.46, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.56), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.76), 'acc': 71.83, 'f1': 81.28, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.76), 'acc': np.float64(86.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.63), 'acc': np.float64(91.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.14), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.97), 'acc': np.float64(91.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.14), 'acc': 91.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.03), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.83), 'acc': 75.59, 'f1': 82.51, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.08), 'acc': np.float64(86.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.08), 'acc': np.float64(90.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.89), 'acc': np.float64(95.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.05), 'acc': np.float64(90.17), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.37), 'acc': 91.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.08), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.5), 'acc': 72.58, 'f1': 80.37, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.96), 'acc': np.float64(86.97), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.12), 'acc': np.float64(92.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.47), 'acc': np.float64(96.43), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.97), 'acc': np.float64(91.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 92.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.76), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.91), 'acc': 76.0, 'f1': 82.71, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.59), 'acc': np.float64(86.69), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.31), 'acc': np.float64(91.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.35), 'acc': np.float64(96.34), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.06), 'acc': np.float64(90.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.4), 'acc': 91.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.35), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.6), 'acc': 73.57, 'f1': 81.19, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.51), 'acc': np.float64(86.62), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.23), 'acc': np.float64(91.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.47), 'acc': np.float64(90.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.35), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.64), 'acc': 74.26, 'f1': 81.44, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.73), 'acc': np.float64(86.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.58), 'acc': np.float64(91.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.35), 'acc': np.float64(96.4), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.47), 'acc': np.float64(90.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.94), 'acc': 91.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.21), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.83), 'acc': 75.54, 'f1': 82.46, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.0), 'acc': np.float64(86.07), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.25), 'acc': np.float64(90.97), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.54), 'acc': np.float64(89.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.45), 'acc': 89.73, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.48), 'acc': 87.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.44), 'acc': 72.23, 'f1': 81.31, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(86.63), 'acc': np.float64(86.66), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.59), 'acc': np.float64(91.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.15), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.99), 'acc': np.float64(91.14), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.14), 'acc': 91.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.23), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.51), 'acc': 74.96, 'f1': 81.94, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(85.84), 'acc': np.float64(85.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.92), 'acc': np.float64(90.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.88), 'acc': np.float64(95.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.08), 'acc': np.float64(90.29), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 91.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.5), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.11), 'acc': 72.17, 'f1': 79.93, 'ndev': 4076, 'ntest': 1725}"
