,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,85.91,91.18,96.05,89.52,89.79,86.56,71.76,87.25285714285714
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,86.76,91.63,96.14,90.97,90.14,91.03,75.83,88.92857142857143
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,86.08,90.08,95.89,90.05,90.37,86.08,73.5,87.4357142857143
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,86.96,92.12,96.47,90.97,90.48,90.76,76.91,89.23857142857142
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,86.59,91.31,96.35,90.06,91.4,86.35,73.6,87.95142857142858
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,86.51,91.23,96.07,90.47,90.48,90.35,75.64,88.67857142857143
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls_avg,86.73,91.58,96.35,90.47,90.94,90.21,75.83,88.87285714285714
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.0,91.25,96.07,89.54,89.45,86.48,71.44,87.17571428571429
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.63,91.59,96.15,90.99,90.14,91.23,75.51,88.89142857142858
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,85.84,89.92,95.88,90.08,89.91,86.5,73.11,87.32000000000001
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.84,92.01,96.46,90.99,90.6,91.1,76.81,89.25857142857141
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.46,91.2,96.34,90.08,91.17,86.85,73.89,87.99857142857142
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.33,90.99,96.07,90.5,90.71,90.48,75.37,88.63571428571427
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,86.64,91.44,96.38,90.51,91.06,90.35,75.44,88.83142857142856
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,85.97,91.24,96.07,89.55,89.45,86.72,71.66,87.23714285714286
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.66,91.6,96.14,91.01,90.25,91.16,75.46,88.89714285714285
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,85.87,89.93,95.88,90.09,90.14,86.28,72.86,87.29285714285713
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.84,92.03,96.46,90.98,90.48,91.07,76.74,89.22857142857143
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.48,91.2,96.34,90.1,91.28,86.92,74.02,88.04857142857142
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.35,91.01,96.08,90.51,90.6,90.55,75.46,88.65142857142857
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,86.65,91.47,96.38,90.5,90.94,90.39,75.54,88.83857142857143
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,85.41,90.71,95.82,89.64,89.22,86.32,69.31,86.63285714285712
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,86.34,91.48,96.1,90.56,89.56,90.37,74.36,88.39571428571428
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,85.9,90.55,95.7,89.74,89.11,86.15,72.35,87.07142857142857
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,86.4,91.51,96.44,90.62,90.37,90.22,75.12,88.66857142857144
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,86.2,91.22,96.29,89.78,90.71,86.35,72.52,87.58142857142856
26,allmpnet,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,86.1,91.07,95.91,89.89,90.37,89.67,73.85,88.12285714285714
27,allmpnet,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,cnn_1d_default-cls_avg,86.08,91.21,96.27,89.9,90.83,89.69,74.61,88.37
28,allmpnet,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,85.9,91.23,96.03,89.52,89.45,86.57,71.17,87.1242857142857
29,allmpnet,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,86.74,91.65,96.14,91.01,90.02,91.25,75.61,88.91714285714285
30,allmpnet,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,85.99,90.12,95.92,90.12,89.91,86.43,72.91,87.34285714285714
31,allmpnet,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,86.92,92.04,96.51,91.0,90.6,91.05,76.47,89.22714285714287
32,allmpnet,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,86.55,91.22,96.31,90.13,91.4,86.63,74.46,88.10000000000001
33,allmpnet,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,86.44,91.1,96.07,90.56,90.71,90.44,75.07,88.62714285714284
