model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.83), 'acc': np.float64(86.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.77), 'acc': np.float64(90.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.86), 'acc': np.float64(95.95), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.98), 'acc': np.float64(87.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.3), 'acc': 89.4, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.17), 'acc': 85.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.53), 'acc': 69.1, 'f1': 80.25, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(86.97), 'acc': np.float64(86.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.89), 'acc': np.float64(91.82), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.15), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.24), 'acc': np.float64(91.3), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.02), 'acc': 91.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.64), 'acc': 96.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.45), 'acc': 76.0, 'f1': 83.1, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(86.36), 'acc': np.float64(86.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.44), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.91), 'acc': np.float64(95.82), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.67), 'acc': np.float64(90.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.98), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.85), 'acc': 73.91, 'f1': 81.83, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(87.14), 'acc': np.float64(87.33), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.33), 'acc': np.float64(92.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.55), 'acc': np.float64(96.44), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.23), 'acc': np.float64(91.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.6), 'acc': 92.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.56), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.52), 'acc': 76.29, 'f1': 83.46, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(86.81), 'acc': np.float64(86.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.72), 'acc': np.float64(91.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.35), 'acc': np.float64(96.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.66), 'acc': np.float64(90.64), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 91.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.0), 'acc': 93.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.7), 'acc': 73.8, 'f1': 81.6, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(86.81), 'acc': np.float64(86.9), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.63), 'acc': np.float64(91.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.09), 'acc': np.float64(95.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.11), 'acc': np.float64(91.21), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.31), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.18), 'acc': 75.25, 'f1': 82.56, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(87.05), 'acc': np.float64(87.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.08), 'acc': np.float64(92.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.4), 'acc': np.float64(96.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.11), 'acc': np.float64(91.21), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 91.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.18), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.27), 'acc': 76.52, 'f1': 83.48, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.4), 'acc': np.float64(85.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.85), 'acc': np.float64(90.62), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.9), 'acc': np.float64(96.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.38), 'acc': np.float64(88.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.65), 'acc': 89.73, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.27), 'acc': 86.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.24), 'acc': 68.81, 'f1': 79.73, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(86.86), 'acc': np.float64(86.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.9), 'acc': np.float64(91.84), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.13), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.19), 'acc': np.float64(91.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.02), 'acc': 91.87, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.38), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.62), 'acc': 77.1, 'f1': 83.91, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(86.18), 'acc': np.float64(86.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.5), 'acc': np.float64(90.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.9), 'acc': np.float64(95.85), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.65), 'acc': np.float64(90.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.63), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.31), 'acc': 74.32, 'f1': 82.1, 'ndev': 4076, 'ntest': 1725}"
