,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.02,90.41,95.95,87.99,89.4,85.4,69.1,86.32428571428571
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.87,91.82,96.07,91.3,91.76,96.6,76.0,90.05999999999999
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.22,90.25,95.82,90.63,91.16,93.2,73.91,88.74142857142856
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.33,92.34,96.44,91.28,92.42,96.0,76.29,90.29999999999998
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,86.73,91.68,96.33,90.64,91.98,93.4,73.8,89.22285714285714
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,86.9,91.39,95.99,91.21,91.38,95.8,75.25,89.70285714285714
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,87.08,92.1,96.39,91.21,91.1,95.8,76.52,90.02857142857142
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.51,90.62,96.01,88.59,89.73,86.8,68.81,86.58142857142856
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.94,91.84,96.04,91.23,91.87,96.0,77.1,90.1457142857143
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.24,90.15,95.85,90.66,91.05,92.8,74.32,88.7242857142857
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.18,92.48,96.41,91.2,92.31,95.8,76.46,90.26285714285714
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,86.71,91.55,96.32,90.64,92.2,93.2,74.72,89.33428571428571
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,86.72,91.42,96.04,91.23,91.21,95.6,76.41,89.80428571428571
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,87.06,91.94,96.34,91.23,91.6,95.4,76.46,90.00428571428573
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.73,90.6,95.95,88.37,89.35,86.0,68.87,86.41
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.86,91.87,96.06,91.2,91.76,96.0,77.28,90.14714285714285
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.26,90.52,95.92,90.64,90.83,93.0,74.61,88.82571428571428
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.16,92.61,96.41,91.19,91.93,96.0,76.12,90.20285714285714
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,86.76,91.73,96.35,90.64,92.15,93.6,74.72,89.42142857142858
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,86.82,91.39,96.0,91.24,91.27,95.6,76.58,89.84285714285714
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,87.07,92.08,96.36,91.25,91.65,95.4,76.23,90.00571428571428
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,84.04,89.96,94.8,81.37,88.3,72.2,70.32,82.99857142857142
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.86,91.71,95.94,91.02,91.54,95.8,74.14,89.57285714285715
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.17,90.65,95.72,90.34,90.77,91.8,73.51,88.42285714285713
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.04,92.26,96.41,91.01,91.87,95.6,75.54,89.96142857142857
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,86.48,91.81,96.29,90.24,91.27,92.0,73.62,88.8157142857143
26,allmpnet,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,86.63,91.57,95.93,90.79,91.27,95.0,75.48,89.52428571428572
27,allmpnet,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,86.79,91.84,96.37,90.81,91.76,95.2,74.96,89.67571428571429
28,allmpnet,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.37,90.36,95.96,88.38,89.4,85.0,69.33,86.25714285714287
29,allmpnet,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.94,91.81,96.07,91.22,91.93,95.8,76.35,90.01714285714286
30,allmpnet,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,86.2,90.09,95.96,90.61,90.94,93.0,74.61,88.77285714285713
31,allmpnet,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.21,92.61,96.26,91.23,91.87,95.8,76.46,90.2057142857143
