model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.83), 'acc': np.float64(85.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.29), 'acc': np.float64(91.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.97), 'acc': np.float64(95.95), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.44), 'acc': np.float64(89.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 88.52, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.61), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.87), 'acc': 69.33, 'f1': 79.91, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(86.81), 'acc': np.float64(86.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.84), 'acc': np.float64(91.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.2), 'acc': np.float64(96.15), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.97), 'acc': np.float64(90.93), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.6), 'acc': 90.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.46), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.67), 'acc': 76.46, 'f1': 83.5, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(86.19), 'acc': np.float64(86.38), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.5), 'acc': np.float64(90.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.98), 'acc': np.float64(95.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.7), 'acc': np.float64(90.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.06), 'acc': 90.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.89), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.97), 'acc': 74.49, 'f1': 82.2, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(87.0), 'acc': np.float64(87.07), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.41), 'acc': np.float64(92.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.54), 'acc': np.float64(96.49), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.9), 'acc': np.float64(90.85), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.25), 'acc': 91.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.85), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.64), 'acc': 76.23, 'f1': 83.43, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(86.7), 'acc': np.float64(86.64), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.9), 'acc': np.float64(92.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.36), 'acc': np.float64(96.38), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.74), 'acc': np.float64(90.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.83), 'acc': 90.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.69), 'acc': 94.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.7), 'acc': 74.61, 'f1': 82.37, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(86.65), 'acc': np.float64(86.69), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.64), 'acc': np.float64(91.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.16), 'acc': np.float64(96.11), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.02), 'acc': np.float64(91.12), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.17), 'acc': 91.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.22), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.27), 'acc': 76.06, 'f1': 83.18, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(86.95), 'acc': np.float64(86.92), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.2), 'acc': np.float64(92.26), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.44), 'acc': np.float64(96.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.99), 'acc': np.float64(91.01), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.06), 'acc': 90.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.81), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.54), 'acc': 76.46, 'f1': 83.44, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.76), 'acc': np.float64(85.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.36), 'acc': np.float64(91.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.84), 'acc': np.float64(95.68), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.48), 'acc': np.float64(89.5), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.79), 'acc': 89.51, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.32), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.43), 'acc': 73.57, 'f1': 81.77, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(86.62), 'acc': np.float64(86.69), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.5), 'acc': np.float64(91.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.22), 'acc': np.float64(91.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.71), 'acc': 91.87, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.29), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(77.18), 'acc': 77.68, 'f1': 84.18, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(86.14), 'acc': np.float64(86.2), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.23), 'acc': np.float64(90.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.82), 'acc': np.float64(95.84), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.76), 'acc': np.float64(90.74), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 91.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.58), 'acc': 93.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.51), 'acc': 76.17, 'f1': 83.14, 'ndev': 4076, 'ntest': 1725}"
