model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.83), 'acc': np.float64(85.78), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.89), 'acc': np.float64(90.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.98), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.32), 'acc': np.float64(89.26), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 89.95, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.26), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.68), 'acc': 69.51, 'f1': 80.12, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(86.93), 'acc': np.float64(86.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.8), 'acc': np.float64(91.89), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.17), 'acc': np.float64(96.09), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.23), 'acc': np.float64(91.27), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.37), 'acc': 91.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.25), 'acc': 96.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.52), 'acc': 76.46, 'f1': 83.43, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(86.32), 'acc': np.float64(86.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.34), 'acc': np.float64(90.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.96), 'acc': np.float64(95.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.7), 'acc': np.float64(90.81), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.71), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.75), 'acc': 93.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.85), 'acc': 74.2, 'f1': 82.05, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(87.13), 'acc': np.float64(87.21), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.28), 'acc': np.float64(92.53), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.52), 'acc': np.float64(96.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.25), 'acc': np.float64(91.19), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.6), 'acc': 92.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.4), 'acc': 96.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.37), 'acc': 76.7, 'f1': 83.72, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(86.8), 'acc': np.float64(86.81), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.72), 'acc': np.float64(91.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.38), 'acc': np.float64(96.29), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.7), 'acc': np.float64(90.76), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.28), 'acc': 91.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.48), 'acc': 94.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.7), 'acc': 74.38, 'f1': 82.23, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(86.74), 'acc': np.float64(86.75), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.58), 'acc': np.float64(91.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.14), 'acc': np.float64(96.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.14), 'acc': np.float64(91.2), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.37), 'acc': 91.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.01), 'acc': 96.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.4), 'acc': 75.77, 'f1': 82.94, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(87.07), 'acc': np.float64(87.17), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.05), 'acc': np.float64(92.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.4), 'acc': np.float64(96.34), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.14), 'acc': np.float64(91.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.94), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.14), 'acc': 96.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.32), 'acc': 76.29, 'f1': 83.3, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.88), 'acc': np.float64(86.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.26), 'acc': np.float64(91.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.03), 'acc': np.float64(96.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.15), 'acc': np.float64(89.13), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.02), 'acc': 90.39, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.81), 'acc': 88.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.93), 'acc': 70.49, 'f1': 80.43, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(86.8), 'acc': np.float64(86.79), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.86), 'acc': np.float64(91.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.15), 'acc': np.float64(96.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.21), 'acc': np.float64(91.27), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.14), 'acc': 91.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.2), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.96), 'acc': 77.1, 'f1': 83.91, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(86.16), 'acc': np.float64(86.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.43), 'acc': np.float64(90.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.91), 'acc': np.float64(95.95), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.71), 'acc': np.float64(90.74), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.6), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.68), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.48), 'acc': 73.57, 'f1': 81.48, 'ndev': 4076, 'ntest': 1725}"
