,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.78,90.68,96.04,89.26,89.95,91.8,69.51,87.57428571428571
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.85,91.89,96.09,91.27,91.98,96.6,76.46,90.16285714285716
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.22,90.28,95.91,90.81,91.16,93.6,74.2,88.88285714285715
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.21,92.53,96.33,91.19,92.59,96.6,76.7,90.45000000000002
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.81,91.47,96.29,90.76,91.82,94.2,74.38,89.39
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.75,91.31,96.07,91.2,91.1,96.2,75.77,89.77142857142857
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.17,92.24,96.34,91.24,90.99,96.0,76.29,90.03857142857143
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.02,91.23,96.01,89.13,90.39,88.6,70.49,87.41
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.79,91.76,96.08,91.27,91.71,95.6,77.1,90.0442857142857
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.14,90.36,95.95,90.74,91.16,92.8,73.57,88.67428571428572
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.08,92.4,96.46,91.29,92.26,95.6,76.58,90.23857142857143
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.91,91.42,96.34,90.78,91.6,93.2,75.77,89.43142857142857
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.62,91.55,96.06,91.32,91.32,95.4,76.7,89.85285714285715
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.08,92.05,96.34,91.27,91.32,95.2,77.1,90.05142857142857
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.95,91.18,95.99,89.27,89.84,90.2,70.14,87.51
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.7,91.63,96.13,91.27,91.71,95.8,77.28,90.0742857142857
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.2,90.41,95.9,90.77,91.16,93.0,74.78,88.88857142857141
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.13,92.58,96.34,91.26,92.59,95.6,76.99,90.35571428571428
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.95,91.63,96.37,90.76,91.87,93.4,75.77,89.53571428571429
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.57,91.44,96.11,91.27,91.32,95.4,76.7,89.83000000000001
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.12,92.26,96.27,91.26,91.6,95.2,76.87,90.08285714285715
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,83.89,90.33,94.7,79.06,88.19,62.6,69.8,81.22428571428573
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.69,91.5,96.01,91.0,91.38,95.4,75.48,89.63714285714286
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.89,90.54,95.75,90.42,90.72,92.4,73.16,88.41142857142857
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.91,92.24,96.47,90.99,91.71,95.4,75.71,89.91857142857144
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.59,91.79,96.37,90.4,91.16,92.2,73.22,88.81857142857143
26,allmpnet,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.51,91.5,95.99,90.9,91.27,95.4,74.9,89.49571428571427
27,allmpnet,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.8,92.05,96.32,90.94,91.6,95.2,74.38,89.61285714285714
28,allmpnet,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.89,90.97,95.97,89.12,90.12,90.8,69.57,87.49142857142859
29,allmpnet,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.8,91.82,96.11,91.21,91.93,95.8,77.04,90.10142857142856
30,allmpnet,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.3,90.38,95.99,90.66,90.99,93.0,73.57,88.69857142857144
31,allmpnet,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.22,92.64,96.4,91.28,92.64,95.8,76.35,90.33285714285714
32,allmpnet,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.92,91.71,96.36,90.62,91.76,93.2,75.36,89.41857142857144
33,allmpnet,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.69,91.6,96.04,91.21,91.32,95.4,76.87,89.87571428571428
34,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.18,92.24,96.31,91.22,91.43,95.4,76.58,90.05142857142859
35,allmpnet,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.88,90.91,96.01,89.21,90.23,91.2,69.86,87.61428571428573
36,allmpnet,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.83,91.73,96.06,91.24,91.98,95.8,77.16,90.11428571428571
37,allmpnet,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.24,90.15,95.91,90.72,90.99,93.0,74.9,88.8442857142857
38,allmpnet,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.25,92.56,96.41,91.25,92.75,95.8,76.99,90.42999999999999
39,allmpnet,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.81,91.73,96.36,90.66,91.98,93.4,75.25,89.4557142857143
40,allmpnet,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.62,91.66,96.02,91.17,91.21,95.6,76.7,89.85428571428572
