model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.9), 'acc': np.float64(85.95), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.22), 'acc': np.float64(90.94), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.58), 'acc': np.float64(89.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.56), 'acc': 89.79, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.7), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.02), 'acc': 71.01, 'f1': 80.47, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(86.74), 'acc': np.float64(86.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.63), 'acc': np.float64(91.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.11), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.96), 'acc': np.float64(91.07), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.02), 'acc': 91.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.98), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.03), 'acc': 75.25, 'f1': 82.27, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(86.07), 'acc': np.float64(86.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.09), 'acc': np.float64(89.98), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.87), 'acc': np.float64(95.82), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.01), 'acc': np.float64(90.13), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.75), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.84), 'acc': 72.12, 'f1': 79.83, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(86.89), 'acc': np.float64(87.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.18), 'acc': np.float64(92.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.45), 'acc': np.float64(96.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.94), 'acc': np.float64(91.03), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.6), 'acc': 92.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.63), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(77.31), 'acc': 74.67, 'f1': 81.74, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(86.54), 'acc': np.float64(86.71), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.36), 'acc': np.float64(91.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.32), 'acc': np.float64(96.32), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.99), 'acc': np.float64(90.11), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.28), 'acc': 91.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.32), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.7), 'acc': 73.04, 'f1': 80.84, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(86.44), 'acc': np.float64(86.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.22), 'acc': np.float64(91.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.04), 'acc': np.float64(95.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.36), 'acc': np.float64(90.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.94), 'acc': 91.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.3), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.61), 'acc': 73.97, 'f1': 81.09, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(86.63), 'acc': np.float64(86.82), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.61), 'acc': np.float64(91.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.32), 'acc': np.float64(96.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.37), 'acc': np.float64(90.5), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.94), 'acc': 91.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(89.97), 'acc': 94.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.18), 'acc': 75.07, 'f1': 82.17, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.95), 'acc': np.float64(86.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.22), 'acc': np.float64(91.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.05), 'acc': np.float64(96.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.58), 'acc': np.float64(89.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 89.84, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.57), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.34), 'acc': 71.83, 'f1': 80.78, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(86.61), 'acc': np.float64(86.66), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.53), 'acc': np.float64(91.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.12), 'acc': np.float64(96.13), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.95), 'acc': np.float64(91.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.25), 'acc': 91.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.1), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.02), 'acc': 75.36, 'f1': 82.12, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.77), 'acc': np.float64(86.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.87), 'acc': np.float64(90.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.87), 'acc': np.float64(95.84), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.02), 'acc': np.float64(90.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.11), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.69), 'acc': 72.17, 'f1': 79.83, 'ndev': 4076, 'ntest': 1725}"
