model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(85.96), 'acc': np.float64(86.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.29), 'acc': np.float64(91.26), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(95.89), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.53), 'acc': np.float64(89.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.33), 'acc': 89.18, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.37), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.81), 'acc': 72.0, 'f1': 81.23, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(86.74), 'acc': np.float64(86.62), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.64), 'acc': np.float64(91.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.15), 'acc': np.float64(96.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.11), 'acc': np.float64(91.14), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.02), 'acc': 91.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.92), 'acc': 96.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.25), 'acc': 74.84, 'f1': 82.13, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(85.85), 'acc': np.float64(86.01), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.34), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.96), 'acc': np.float64(96.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.31), 'acc': np.float64(90.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.25), 'acc': 90.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.07), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.39), 'acc': 73.04, 'f1': 80.92, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(86.79), 'acc': np.float64(86.78), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.08), 'acc': np.float64(92.4), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.41), 'acc': np.float64(96.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.07), 'acc': np.float64(91.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.6), 'acc': 91.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.05), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(77.06), 'acc': 76.99, 'f1': 83.8, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(86.44), 'acc': np.float64(86.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.36), 'acc': np.float64(91.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.29), 'acc': np.float64(96.34), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.46), 'acc': np.float64(90.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.4), 'acc': 91.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.32), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.8), 'acc': 74.32, 'f1': 81.66, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(86.43), 'acc': np.float64(86.54), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.22), 'acc': np.float64(91.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.13), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.68), 'acc': np.float64(90.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.9), 'acc': 94.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.95), 'acc': 74.96, 'f1': 82.22, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(86.56), 'acc': np.float64(86.64), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.52), 'acc': np.float64(91.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.31), 'acc': np.float64(96.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.76), 'acc': np.float64(90.8), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.94), 'acc': 91.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.76), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.64), 'acc': 76.29, 'f1': 82.95, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(85.94), 'acc': np.float64(86.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.5), 'acc': np.float64(91.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.99), 'acc': np.float64(95.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.56), 'acc': np.float64(89.53), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.56), 'acc': 89.57, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.1), 'acc': 90.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.82), 'acc': 73.91, 'f1': 81.66, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(86.57), 'acc': np.float64(86.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.36), 'acc': np.float64(91.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.14), 'acc': np.float64(96.15), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(91.03), 'acc': np.float64(91.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.91), 'acc': 91.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.1), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.67), 'acc': 74.72, 'f1': 81.88, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(85.87), 'acc': np.float64(86.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.97), 'acc': np.float64(89.83), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.97), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.16), 'acc': np.float64(90.13), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.25), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.72), 'acc': 73.28, 'f1': 80.62, 'ndev': 4076, 'ntest': 1725}"
