,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.19,91.26,95.89,89.57,89.18,91.6,72.0,87.95571428571428
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.62,91.68,96.12,91.14,91.43,96.4,74.84,89.74714285714286
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.01,90.25,96.12,90.35,90.88,92.8,73.04,88.49285714285713
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.78,92.4,96.45,91.09,91.32,95.8,76.99,90.11857142857143
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.68,91.42,96.34,90.58,91.1,93.2,74.32,89.09142857142858
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.54,91.34,96.13,90.9,91.16,94.8,74.96,89.4042857142857
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,86.64,91.66,96.31,90.8,91.05,95.0,76.29,89.67857142857143
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.1,91.5,95.97,89.53,89.57,90.8,73.91,88.19714285714285
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.65,91.39,96.15,91.1,91.76,95.6,74.72,89.62428571428573
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.08,89.83,96.06,90.13,91.21,92.8,73.28,88.48428571428572
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.66,92.11,96.45,91.14,91.65,95.2,75.36,89.7957142857143
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.66,91.71,96.28,90.36,91.49,94.2,73.28,89.14
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.42,90.99,96.16,90.49,91.27,95.4,74.43,89.30857142857144
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,86.74,91.5,96.4,90.68,91.38,95.4,75.13,89.60428571428572
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.04,91.39,95.94,89.53,89.68,91.0,73.51,88.15571428571427
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.72,91.44,96.11,91.09,91.98,95.6,75.25,89.74142857142859
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.08,89.8,96.05,90.12,91.43,93.2,73.16,88.54857142857144
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.71,92.32,96.49,91.19,91.49,95.2,76.29,89.95571428571428
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.63,91.63,96.27,90.44,91.71,93.8,74.26,89.24857142857141
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.49,91.07,96.11,90.55,91.21,95.4,74.43,89.32285714285715
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,86.74,91.55,96.48,90.7,90.83,95.4,74.9,89.5142857142857
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.93,91.15,95.92,89.59,89.62,91.6,71.36,87.88142857142859
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.62,91.58,96.11,90.82,91.71,95.8,75.94,89.79714285714284
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.02,90.17,95.92,90.15,90.88,92.2,72.46,88.25714285714287
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.31,91.74,96.46,90.8,91.76,95.6,76.41,89.86857142857141
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.16,91.39,96.42,90.45,91.1,93.8,73.62,88.99142857142856
26,allmpnet,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.37,90.97,96.04,90.2,91.49,95.0,74.55,89.23142857142855
27,allmpnet,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,86.25,91.39,96.38,90.27,91.71,95.4,75.59,89.57000000000001
28,allmpnet,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.24,91.47,95.74,89.58,89.68,91.8,73.39,88.27142857142857
29,allmpnet,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.68,91.44,96.08,91.14,91.82,95.6,75.07,89.68999999999998
30,allmpnet,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.14,89.93,96.02,90.2,91.27,93.4,72.58,88.50571428571428
31,allmpnet,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.78,92.0,96.46,91.11,91.6,95.4,76.29,89.94857142857143
32,allmpnet,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.64,91.63,96.28,90.37,91.43,94.6,72.7,89.09285714285714
33,allmpnet,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.41,90.99,96.13,90.48,91.27,95.2,74.78,89.32285714285715
34,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,86.71,91.44,96.42,90.64,91.49,95.2,74.9,89.54285714285713
35,allmpnet,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.19,91.42,95.96,89.54,89.73,91.2,73.04,88.15428571428572
36,allmpnet,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.69,91.44,96.05,91.18,91.71,95.8,74.96,89.69000000000001
37,allmpnet,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,86.07,89.91,95.98,90.24,91.16,93.4,73.04,88.54285714285713
38,allmpnet,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.8,92.05,96.44,91.15,91.49,95.6,76.58,90.01571428571428
39,allmpnet,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.67,91.52,96.28,90.37,91.32,94.2,74.38,89.24857142857142
40,allmpnet,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,86.47,90.99,96.15,90.64,91.16,95.2,74.43,89.29142857142857
41,allmpnet,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,86.62,91.44,96.44,90.71,91.49,95.4,75.13,89.60428571428572
