model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.94), 'acc': np.float64(86.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.2), 'acc': np.float64(91.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.05), 'acc': np.float64(96.14), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.54), 'acc': np.float64(89.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.45), 'acc': 89.9, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.63), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.39), 'acc': 71.59, 'f1': 81.14, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.76), 'acc': np.float64(86.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.64), 'acc': np.float64(91.87), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.14), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.99), 'acc': np.float64(91.08), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.02), 'acc': 91.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.98), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.08), 'acc': 75.3, 'f1': 82.31, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.06), 'acc': np.float64(86.05), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.12), 'acc': np.float64(90.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.88), 'acc': np.float64(95.95), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.02), 'acc': np.float64(90.19), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.1), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.35), 'acc': 72.99, 'f1': 80.63, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.96), 'acc': np.float64(87.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.16), 'acc': np.float64(92.05), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.47), 'acc': np.float64(96.44), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.96), 'acc': np.float64(91.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.87), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.89), 'acc': 75.19, 'f1': 82.39, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.6), 'acc': np.float64(86.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.34), 'acc': np.float64(91.45), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.35), 'acc': np.float64(96.32), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.03), 'acc': np.float64(90.13), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.51), 'acc': 91.6, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.7), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.07), 'acc': 73.45, 'f1': 81.17, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.51), 'acc': np.float64(86.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.23), 'acc': np.float64(91.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.37), 'acc': np.float64(90.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.41), 'acc': 95.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.59), 'acc': 74.61, 'f1': 81.72, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.77), 'acc': np.float64(86.95), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.6), 'acc': np.float64(91.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.36), 'acc': np.float64(96.32), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.38), 'acc': np.float64(90.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.06), 'acc': 91.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.0), 'acc': 95.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.78), 'acc': 74.49, 'f1': 81.48, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.96), 'acc': np.float64(86.05), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.24), 'acc': np.float64(91.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.06), 'acc': np.float64(96.09), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.5), 'acc': np.float64(89.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.22), 'acc': 90.06, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.92), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.59), 'acc': 72.81, 'f1': 81.72, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.63), 'acc': np.float64(86.71), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.56), 'acc': np.float64(91.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.15), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.99), 'acc': np.float64(91.11), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.37), 'acc': 91.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.27), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.32), 'acc': 74.78, 'f1': 81.78, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.83), 'acc': np.float64(85.92), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.92), 'acc': np.float64(90.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.89), 'acc': np.float64(95.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.1), 'acc': np.float64(90.3), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.02), 'acc': 91.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.33), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.67), 'acc': 72.17, 'f1': 79.88, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.82), 'acc': np.float64(87.03), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.98), 'acc': np.float64(92.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.47), 'acc': np.float64(96.51), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.99), 'acc': np.float64(91.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.37), 'acc': 92.2, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.09), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.91), 'acc': 75.71, 'f1': 82.58, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.46), 'acc': np.float64(86.6), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.19), 'acc': np.float64(91.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.34), 'acc': np.float64(96.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.1), 'acc': np.float64(90.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.28), 'acc': 91.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.98), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.19), 'acc': 74.14, 'f1': 81.62, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.32), 'acc': np.float64(86.36), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.94), 'acc': np.float64(91.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.51), 'acc': np.float64(90.75), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.37), 'acc': 91.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.52), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.97), 'acc': 73.68, 'f1': 80.83, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,2304,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.58), 'acc': np.float64(86.64), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.47), 'acc': np.float64(91.55), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.36), 'acc': np.float64(96.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.52), 'acc': np.float64(90.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.28), 'acc': 91.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.3), 'acc': 94.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.49), 'acc': 74.78, 'f1': 81.53, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_AVG-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.99), 'acc': np.float64(86.04), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.21), 'acc': np.float64(91.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.08), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.53), 'acc': np.float64(89.45), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.33), 'acc': 89.73, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.01), 'acc': 88.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.86), 'acc': 72.29, 'f1': 81.33, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_AVG-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.66), 'acc': np.float64(86.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.58), 'acc': np.float64(91.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.14), 'acc': np.float64(96.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.98), 'acc': np.float64(91.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.14), 'acc': 91.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.21), 'acc': 95.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.74), 'acc': 75.07, 'f1': 82.02, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_AVG-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.86), 'acc': np.float64(85.97), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.93), 'acc': np.float64(90.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.88), 'acc': np.float64(95.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.09), 'acc': np.float64(90.31), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.25), 'acc': 91.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.28), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.77), 'acc': 72.23, 'f1': 79.95, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG_AVG-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.84), 'acc': np.float64(87.01), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(92.0), 'acc': np.float64(92.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.47), 'acc': np.float64(96.41), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.98), 'acc': np.float64(91.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.37), 'acc': 92.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(91.23), 'acc': 95.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.62), 'acc': 74.14, 'f1': 81.24, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_AVG-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.45), 'acc': np.float64(86.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.2), 'acc': np.float64(91.55), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.35), 'acc': np.float64(96.29), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.09), 'acc': np.float64(90.21), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(91.28), 'acc': 91.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.81), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.02), 'acc': 73.1, 'f1': 80.71, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_AVG-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(86.35), 'acc': np.float64(86.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(91.0), 'acc': np.float64(91.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(96.07), 'acc': np.float64(96.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.5), 'acc': np.float64(90.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(90.48), 'acc': 91.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(90.46), 'acc': 95.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.32), 'acc': 74.03, 'f1': 81.11, 'ndev': 4076, 'ntest': 1725}"
