,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.14,91.07,96.14,89.54,89.9,90.0,71.59,87.76857142857143
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.76,91.87,96.05,91.08,91.76,95.4,75.3,89.74571428571427
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.05,90.09,95.95,90.19,91.32,92.2,72.99,88.39857142857143
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.0,92.05,96.44,91.04,91.71,95.6,75.19,89.86142857142856
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.68,91.45,96.32,90.13,91.6,92.6,73.45,88.89
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.59,91.31,96.06,90.57,91.43,95.4,74.61,89.42428571428572
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.95,91.66,96.32,90.54,91.43,95.0,74.49,89.48428571428573
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.05,91.02,96.09,89.52,90.06,91.0,72.81,88.07857142857142
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.71,91.66,96.04,91.11,91.76,95.6,74.78,89.66571428571429
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.92,90.04,95.9,90.3,91.27,92.6,72.17,88.3142857142857
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,87.03,92.08,96.51,91.02,92.2,95.8,75.71,90.05
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.6,91.36,96.27,90.23,91.54,92.8,74.14,88.99142857142856
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.36,91.1,96.05,90.75,91.54,95.2,73.68,89.24000000000001
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.64,91.55,96.35,90.66,91.65,94.6,74.78,89.46142857142856
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.04,91.1,96.06,89.45,89.73,88.4,72.29,87.58142857142856
