model,fusion,pooling_train,config_name,task,n_splits,mean,std,min,max,scores
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS_IN-TASK,MR,10,82.671,0.18457789683491216,82.43,83.1,"[82.73, 83.1, 82.43, 82.79, 82.73, 82.59, 82.69, 82.46, 82.68, 82.51]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS_IN-TASK,CR,10,87.254,0.18964176755135156,86.81,87.43,"[87.43, 87.4, 86.81, 87.16, 87.05, 87.43, 87.23, 87.37, 87.29, 87.37]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS_IN-TASK,SUBJ,10,95.91299999999998,0.06213694553162135,95.81,96.02,"[95.86, 95.92, 95.96, 95.91, 95.9, 95.84, 96.02, 95.99, 95.92, 95.81]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS_IN-TASK,MPQA,10,88.884,0.15160474926597858,88.61,89.05,"[88.96, 89.05, 88.61, 89.01, 88.89, 89.01, 89.02, 88.85, 88.81, 88.63]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS_IN-TASK,SST2,1,87.61,0.0,87.61,87.61,[87.61]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS_IN-TASK,TREC,1,87.27,0.0,87.27,87.27,[87.27]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS_IN-TASK,MRPC,1,71.83,0.0,71.83,71.83,[71.83]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG_IN-TASK,MR,10,81.82199999999999,0.19610201426808332,81.4,81.99,"[81.72, 81.94, 81.4, 81.99, 81.92, 81.9, 81.97, 81.96, 81.9, 81.52]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG_IN-TASK,CR,10,86.809,0.2735488987365884,86.22,87.16,"[87.14, 86.84, 86.22, 87.16, 86.96, 86.87, 86.7, 86.46, 86.87, 86.87]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG_IN-TASK,SUBJ,10,95.69200000000001,0.08749857141691224,95.58,95.79,"[95.58, 95.66, 95.78, 95.76, 95.79, 95.76, 95.79, 95.58, 95.63, 95.59]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG_IN-TASK,MPQA,10,88.943,0.17635475610257748,88.69,89.25,"[88.83, 89.25, 88.69, 88.78, 88.96, 88.87, 89.05, 89.11, 88.76, 89.13]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG_IN-TASK,SST2,1,86.24,0.0,86.24,86.24,[86.24]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG_IN-TASK,TREC,1,87.34,0.0,87.34,87.34,[87.34]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG_IN-TASK,MRPC,1,75.22,0.0,75.22,75.22,[75.22]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG-NS_IN-TASK,MR,10,80.78800000000001,0.22435685859808005,80.42,81.1,"[80.43, 81.07, 80.42, 80.93, 80.79, 80.81, 80.61, 81.1, 80.85, 80.87]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG-NS_IN-TASK,CR,10,85.176,0.3408577415873075,84.55,85.66,"[85.58, 85.52, 84.55, 85.66, 85.34, 85.11, 84.96, 84.79, 85.23, 85.02]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG-NS_IN-TASK,SUBJ,10,95.344,0.08879189152169085,95.17,95.48,"[95.17, 95.41, 95.36, 95.31, 95.33, 95.48, 95.46, 95.29, 95.37, 95.26]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG-NS_IN-TASK,MPQA,10,88.172,0.11998333217576607,87.97,88.42,"[88.17, 88.09, 88.23, 87.97, 88.2, 88.16, 88.42, 88.3, 88.11, 88.07]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG-NS_IN-TASK,SST2,1,84.98,0.0,84.98,84.98,[84.98]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG-NS_IN-TASK,TREC,1,84.34,0.0,84.34,84.34,[84.34]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG-NS_IN-TASK,MRPC,1,74.04,0.0,74.04,74.04,[74.04]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG_IN-TASK,MR,10,83.31,0.21316660151158784,82.85,83.61,"[83.23, 83.61, 83.23, 83.38, 83.45, 83.27, 83.6, 83.34, 83.14, 82.85]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG_IN-TASK,CR,10,87.411,0.2875569508810357,86.9,87.96,"[87.55, 87.58, 86.9, 87.96, 87.37, 87.49, 87.49, 87.14, 87.55, 87.08]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG_IN-TASK,SUBJ,10,96.122,0.06128621378418127,95.99,96.2,"[96.14, 96.08, 96.07, 96.18, 96.2, 96.18, 96.16, 96.13, 95.99, 96.09]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG_IN-TASK,MPQA,10,89.05499999999999,0.1732772345116371,88.82,89.37,"[88.85, 89.15, 88.91, 89.2, 89.04, 88.82, 89.37, 89.24, 88.92, 89.05]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG_IN-TASK,SST2,1,88.07,0.0,88.07,88.07,[88.07]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG_IN-TASK,TREC,1,88.72,0.0,88.72,88.72,[88.72]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG_IN-TASK,MRPC,1,76.05,0.0,76.05,76.05,[76.05]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG-NS_IN-TASK,MR,10,82.944,0.17585221067703635,82.69,83.29,"[83.06, 83.29, 82.69, 82.88, 83.14, 82.91, 82.96, 82.69, 82.89, 82.93]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG-NS_IN-TASK,CR,10,86.722,0.4107018383206964,86.11,87.49,"[87.49, 86.99, 86.19, 87.25, 86.84, 86.11, 86.61, 86.61, 86.58, 86.55]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG-NS_IN-TASK,SUBJ,10,96.04,0.062289646009588764,95.93,96.14,"[96.03, 95.98, 96.12, 96.06, 96.14, 96.04, 96.06, 96.07, 95.97, 95.93]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG-NS_IN-TASK,MPQA,10,88.544,0.1830409790183606,88.17,88.84,"[88.53, 88.74, 88.6, 88.47, 88.53, 88.36, 88.84, 88.7, 88.5, 88.17]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG-NS_IN-TASK,SST2,1,88.3,0.0,88.3,88.3,[88.3]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG-NS_IN-TASK,TREC,1,88.44,0.0,88.44,88.44,[88.44]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,CLS+AVG-NS_IN-TASK,MRPC,1,74.31,0.0,74.31,74.31,[74.31]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG+AVG-NS_IN-TASK,MR,10,81.56500000000001,0.18736328348958925,81.24,81.83,"[81.34, 81.75, 81.24, 81.61, 81.39, 81.49, 81.78, 81.83, 81.64, 81.58]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG+AVG-NS_IN-TASK,CR,10,86.01200000000001,0.3472981428110421,85.4,86.46,"[86.31, 86.37, 85.4, 86.46, 86.13, 85.79, 85.87, 85.61, 86.37, 85.81]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG+AVG-NS_IN-TASK,SUBJ,10,95.612,0.09795917517006857,95.36,95.68,"[95.51, 95.6, 95.67, 95.68, 95.68, 95.62, 95.66, 95.66, 95.68, 95.36]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG+AVG-NS_IN-TASK,MPQA,10,88.47999999999999,0.16546903033498114,88.26,88.8,"[88.48, 88.31, 88.51, 88.29, 88.52, 88.49, 88.71, 88.8, 88.43, 88.26]"
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG+AVG-NS_IN-TASK,SST2,1,86.35,0.0,86.35,86.35,[86.35]
google-bert_bert-base-uncased,dynamic_layer_weighted_mean,cls,AVG+AVG-NS_IN-TASK,TREC,1,87.16,0.0,87.16,87.16,[87.16]
